"Title","Date","Source","Link","Article"
"Global warming causing 'irreversible' mass melting in Antarctica: Scientist","19/02/2020","Reuters/nh","https://www.channelnewsasia.com/news/world/global-warming-causing-irreversible-mass-melting-in-antarctica-12449782"," SYDNEY: Global warming was leading to an ""irreversible"" mass melting of the Antarctic ice and purging carbon from the atmosphere was the only solution to slow the process, an Australian climate scientist told Reuters on Wednesday (Feb 19). Recent human activity has intensified global warming, which could result in a mass melting of Antarctica, said Zoe Thomas, a research fellow at the University of New South Wales who was part of an international team of scientists that recently published a paper on Antarctic ice melting. The study showed the world could lose most of the West Antarctic Ice Sheet, which rests on the seabed and is fringed by floating ice, in a warmer world. ""What we're seeing with the West Antarctic Ice Sheet, that this starting of the melt, once we reach a certain threshold, will continue despite our efforts to stop it,"" she told Reuters. The team hopes to continue the research to determine how quickly the ice sheets responded to increased temperatures, which would help provide a more concrete time frame for the future. The hottest temperature ever recorded in Antarctica of 18.3 degrees Celsius was taken at a research base there on Feb 6. If hotter temperatures were to sustain they could cause an extreme global sea level rise. ""This will gradually displace people as it goes,"" Thomas said. ""We know this is already happening in small island communities and this will just continue to happen gradually as more and more houses are being inundated at high tide, then at normal tide and then even at low tide."" Thomas said that the only thing that would slow down the ice melting was if economies across the world began de-carbonising themselves. ""Once we commit to this de-carbonised future can then we start thinking about potential options for trying to remove carbon from the atmosphere,"" she added. Many advanced economies have pledged to cut carbon emissions to net zero by 2050 though Australia is largely seen as dragging its feet on the issue despite recently suffering one of its worst bushfire seasons ever. According to a forecast published by Britain's Met Office last month, the fires contributed to one of the biggest annual increases in the concentration of carbon dioxide in the earth's atmosphere since record-keeping began more than 60 years ago."
"Amazon's Bezos pledges US$10 billion to climate change fight","18/02/2020","Reuters/ad","https://www.channelnewsasia.com/news/business/amazon-jeff-bezos-pledge-climate-change-12444798"," NEW YORK: Amazon Chief Executive Officer Jeff Bezos will commit US$10 billion to fund scientists, activists, nonprofits and other groups fighting to protect the environment and counter the effects of climate change, he said on Monday (Feb 18). Bezos, who is the world's richest man, is among a growing list of billionaires to dedicate substantial funds towards combating the impact of global warming. ""Climate change is the biggest threat to our planet,"" Bezos said in an Instagram post. ""I want to work alongside others both to amplify known ways and to explore new ways of fighting the devastating impact of climate change on this planet we all share."" The Bezos Earth Fund will begin issuing grants this summer as part of the initiative. ""It's going to take collective action from big companies, small companies, nation states, global organizations, and individuals,"" Bezos said. Counteracting climate change has become a popular cause for US billionaires in recent years, with Microsoft's Bill Gates, Michael Bloomberg and hedge fund manager Tom Steyer counted among the world's wealthiest environmental philanthropists. ⁣⁣⁣ Last year, Bezos pledged to make online retailer Amazon net carbon neutral by 2040 - the first major corporation to announce such a goal - and to buy 100,000 electric delivery vehicles from US vehicle design and manufacturing startup Rivian Automotive LLC. Bezos also said at the time that Amazon would meet the goals of the Paris climate accord 10 years ahead of the accord's schedule and invest US$100 million to restore forests and wetlands. Cutting emissions related to Amazon, which delivers 10 billion items a year and has a massive transportation and data center footprint, will be challenging. The company has faced recent protests by environmental activists in France and rising pressure from its own employees to take action on climate change."
"Exclusive: Italian government leaning towards third term for Eni CEO - sources","18/02/2020","Reuters","https://www.channelnewsasia.com/news/business/exclusive--italian-government-leaning-towards-third-term-for-eni-ceo---sources-12444396"," ROME/MILAN: The Italian government is leaning toward reappointing Claudio Descalzi as CEO of state-controlled oil firm Eni, provided he will work with a new board to speed up efforts to cut carbon emissions, four senior political sources told Reuters. The largest member of the ruling coalition, the anti-establishment 5-Star Movement, has been highly critical of the veteran oilman in the past, not least because he is being tried in Italy for alleged corruption over a 2011 oil deal in Nigeria. Descalzi denies any wrongdoing. However, Rome is keen for an experienced leader with a track record of dealing with geopolitically sensitive areas such as Africa and the Middle East to oversee interests there, and to help Eni shift toward cleaner sources of energy without inflicting too much damage on profitability. ""No final decision has been made yet, but Descalzi has a good chance to be reappointed,"" a government member of the ruling center-left Democratic Party (PD) said, asking not to be named because of the sensitivity of the matter. Eni, a rich source of dividends for stretched state coffers, has traditionally been seen as a key piece of Italy's energy policy and also important for foreign policy because of its extensive overseas presence. Descalzi's second term leading the company comes to an end in May and the government is expected to flag as soon as March whether or not he will be kept on. The 64-year old executive is due to present Eni's latest business plan on Feb. 28. Economy Minister Roberto Gualtieri, a PD minister, said on Friday that ""very valuable people"" were running state-owned companies, which also include utility giant Enel and defense group Leonardo , but did not elaborate. The 5-Star Movement is not opposing Descalzi's reappointment as long as he is prepared to work with a new board to accelerate moves to cut carbon emissions, a prominent member of the movement said. ""He is winning round key figures in the party,"" the official said, also asking not to be named. The nomination process at Italy's state-controlled companies is traditionally the subject of intense political horse trading because of their size and importance. Talks usually go down to the wire and can change unexpectedly on political vagaries. The Treasury, which owns 4.34per cent of Eni and controls another 25.76per cent via state lender CDP, has the right to appoint six members of Eni's nine-strong board. It is expected to present a list of candidates that will include the name of the new CEO. The Treasury declined to comment for this story, as did Eni. DON'T ROCK THE BOAT Descalzi was first appointed to the top job at Eni in 2014 by the government of Matteo Renzi, whose Italy Alive party is now a junior member of the ruling coalition. Helped by major discoveries in Egypt and Mozambique, Descalzi transformed the company into one of the industry's most successful oil and gas explorers. He has shunned costly bets on North American shale gas and more recently won accolades from investors by signing a flurry of deals in the Gulf. However, his leadership has not been without controversy. In one of the oil industry's biggest ever scandals, Italian prosecutors allege Eni and Royal Dutch Shell bought a Nigerian oilfield in 2011 knowing most of the US$1.3 billion purchase price would go to agents and middlemen in bribes. The trial, which includes Descalzi because he led Eni's exploration and production business at the time of the transaction, is drawing to a close, but is not expected to conclude until after the nomination process for a new CEO. Eni and Shell, like Descalzi, have denied wrongdoing. Despite the allegations, two of the sources said Rome was drawn to keeping Descalzi as a steady pair of hands at a time of increasing turmoil in Libya, where Eni is the biggest foreign oil and gas producer. ""The (Italian) government at the moment is weak and the message coming out of Rome is to rock the boat as little as possible,"" one of them said. Descalzi's experience could also help Eni meet growing pressure from politicians and investors for oil companies to do more to address global warming. The CEO, a physicist by training, set up Eni's green energy unit in 2015 and introduced a target for net-zero carbon emissions from exploration and production operations by 2030. However, rivals such as Repsol , Shell and, more recently, BP , have gone further, and Descalzi is under pressure to set bolder targets. ""He's got the ball rolling but now he's got to raise the bar,"" one of the sources said. (Reporting by Giuseppe Fonte and Giselda Vagnoni in Rome, Stephen Jewkes in Milan, Editing by Mark Potter)"
"Climate change could make premiums unaffordable: QBE Insurance","17/02/2020","Reuters","https://www.channelnewsasia.com/news/business/climate-change-could-make-premiums-unaffordable--qbe-insurance-12441584"," SYDNEY: Australia's QBE Insurance Group said on Monday climate change could make some premiums unaffordable, especially for customers exposed to extreme weather events, and was a ""material risk"" for its operations across the globe. During 2019, QBE's net Australia-Pacific cost of catastrophe claims jumped to US$193 million from US$106 million the year before, led by unprecedented floods in Australia's north east coast and horrendous bushfires across the country's south east. The insurer said it has started to adjust its catastrophe models to factor in the expected impacts of climate change until 2100, and would assess the impact on its weather-related exposures from emissions and temperatures. In the short-term, QBE would manage higher claims by considering event frequency and severity in its capital planning and will deploy a comprehensive catastrophe reinsurance program, it said. Over the long-term, it expected the physical impacts of climate change ""will result in our customers seeking increased insurance for the protection of their assets and the services they provide."" ""This may cause insurance premiums to become unaffordable, especially for customers in areas more exposed to weather-related events, potentially resulting in a loss of revenue."" Insurers and banks are also facing stricter regulatory scrutiny over their response to global warming, with shareholders expecting better disclosures and transparency on climate-related risks. In its annual climate disclosure, QBE said it plans to phase out all direct insurance services for thermal coal customers by 2030, in an effort to cut emissions responsible for rising global temperatures. It is also committed to shunning direct insurance services for new thermal coal mines, power stations or thermal coal transport infrastructure. Globally, the economic costs from natural disasters have exceeded the 30‑year average for seven of the last 10 years, while the number of extreme weather events globally has tripled since the 1980s, QBE CEO Pat Regan said in the company's annual report. (Reporting by Swati Pandey)"
"UN's Guterres calls for 'transformational change' on climate","17/02/2020","AFP/de","https://www.channelnewsasia.com/news/asia/un-s-guterres-calls-for--transformational-change--on-climate-12440330"," ISLAMABAD: Governments must deliver decisive actions and ""transformational change"" to combat global warming, UN Secretary-General Antonio Guterres said on Sunday (Feb 16), blasting a recent climate summit in Madrid. The so-called COP25 climate talks in the Spanish capital in December were supposed to build on breakthrough promises made at the 2015 UN Climate Change Conference in Paris. Instead, governments equivocated and observers decried their response as inadequate and unambitious. ""Our planet is burning but too many decision makers continue to fiddle,"" Guterres said in a speech he delivered in Islamabad. ""The only answer is decisive climate action ... Gradual approaches are no longer enough."" A United Nations panel concluded late in 2018 that avoiding global climate chaos will require a major transformation of society and the world economy. The landmark report said global CO2 emissions must drop 45 per cent by 2030, and reach ""net zero"" by 2050, to cap temperature rise at 1.5 degrees Celsius, the safe cap set as a goal in the Paris accord. Guterres said that at the next climate conference, the COP26 in Glasgow later this year, ""governments must deliver the transformational change our world needs and that people demand, with much stronger ambition."" Guterres said rich countries should lead the way, including by ending ""perverse"" fossil fuel subsidies. Following a year of deadly extreme weather and weekly protests by millions of young people, Madrid negotiators were under pressure to send a clear signal that governments were willing to intensify their efforts. The summit was at times close to collapse as rich polluters, emerging powerhouses and climate-vulnerable nations groped for common ground in the face of competing national interests. Guterres credited Pakistan for banning plastic bags in the capital Islamabad and for a large tree-planting programme. Guterres is in Pakistan for a three-day visit that will include his attendance at a conference on Pakistan's hosting of Afghan refugees for 40 years. Pakistan is one of the largest refugee-hosting nations in the world, home to an estimated 2.4 million registered and undocumented people who have fled Afghanistan, some as far back as the Soviet invasion of 1979. Many live in camps, while others have built lives for themselves in Pakistan's cities, paying rent and contributing to the economy. Guterres said the ""preferred, durable solution for the refugees has always been one-time repatriation with safety and dignity to the country of origin""."
"Antarctica registers record temperature of over 20 degrees Celsius","14/02/2020","AFP","https://www.channelnewsasia.com/news/world/antarctica-registers-record-temperature-of-over-20-degrees-12434124"," SAO PAULO: Scientists in Antarctica have recorded a new record temperature of 20.75 degrees Celsius, breaking the barrier of 20 degrees for the first time on the continent, a researcher said on Thursday (Feb 13). ""We'd never seen a temperature this high in Antarctica,"" Brazilian scientist Carlos Schaefer told AFP. He cautioned that the reading, taken at a monitoring station on an island off the continent's northern tip on Feb 9, ""has no meaning in terms of a climate-change trend"", because it is a one-off temperature and not part of a long-term data set. But news that the icy continent is now recording temperatures in the relatively balmy twenties is likely to further fuel fears about the warming of the planet. The reading was taken at Seymour Island, part of a chain off the peninsula that curves out from the northern tip of Antarctica. The island is home to Argentina's Marambio research base. Schaefer, a soil scientist, said the reading was taken as part of a 20-year-old research project on the impact of climate change on the region's permafrost. The previous high was in the 19s, he said. ""We can't use this to anticipate climatic changes in the future. It's a data point,"" he said. ""It's simply a signal that something different is happening in that area."" Still, he added, a temperature that high had never been registered in Antarctica. Accelerating melt-off from glaciers and especially ice sheets in Antarctica is helping drive sea level rises, threatening coastal megacities and small island nations. The news came a week after Argentina's National Meteorological Service recorded the hottest day on record for Argentine Antarctica: 18.3 degrees Celsius at midday at the Esperanza base, located near the tip of the Antarctic peninsula. The previous record stood at 17.5 degrees on Mar 24, 2015, it said. It has been recording Antarctic temperatures since 1961. The past decade has been the hottest on record, the United Nations said last month, with 2019 the second-hottest year ever, after 2016. And 2020 looks set to continue the trend: Last month was the hottest January on record."
"Japan needs to apologise more, China needs to say thank you more, says famed prof","13/02/2020","CNA/dp","https://www.channelnewsasia.com/news/cnainsider/japan-apologise-china-say-thank-you-us-harvard-prof-ezra-vogel-12429600"," SINGAPORE: He has spent six decades studying China and Japan, a time span that is only 15 years shy of the end of World War II. In that time, the old wounds of Japanese war atrocities in China have yet to heal. And the question of whether Japan needs to apologise in the way Germany has is never far away. Ezra Vogel, the famed 89-year scholar and Harvard University emeritus professor of social sciences, does not think it would change China’s basic foreign policy considerations. But he agrees that Japan needs “to apologise more”. He also thinks China needs “to say thank you more” — because the Japanese became major contributors of foreign aid to the Chinese after they signed their Treaty of Peace and Friendship.   “The Japanese feel that ... (they) were very generous, after 1978, in helping China. They were giving more aid, more technological assistance, to China than any other country,” he says. “That was given instead of reparations, and the Chinese leaders acknowledged privately at the time that that’s what the meaning was. But the Chinese (leaders) haven’t done so much publicly, and many Chinese are completely unaware of that.” Fluent in Japanese and Mandarin, he has produced bestsellers like Japan As Number One and an authoritative, 900-page tome on Deng Xiaoping. He has even been criticised for being an unabashed admirer of Tokyo and Beijing. For the record, he says he is not an East Asian apologist. Few in the West, however, know those countries better.   And ahead of Chinese President Xi Jinping’s state visit to Japan in April — his first and one that experts say is a remarkable warming of bilateral relations — Prof Vogel gives his take on their relationship and also on Sino-American ties. That includes the question of whether Beijing is trying to tug Japan out of Washington’s grasp by cosying up to Tokyo. BETTER TIES LIKELY, BUT NOT BFFs Just a few years ago, China and Japan had a bitter territorial dispute over the Senkaku/Diaoyu islands. And although Prof Vogel reckons that relations are likely to improve now, he doubts that the Japanese will “feel comfortable being real friends”. “They saw the pictures of Japanese businesses being trashed on television (and of) Chinese planes and ships ... near the Senkaku/Diaoyu islands (in 2013),” he cites. “They look at the movies of WWII, which the Japanese have seen on television from China ... And (they’re) worried that if Chinese domestic problems should get very serious ... it would be quite popular in China to become anti-Japanese again.”   If they would “put in their textbooks more about the horrors they’ve done”, and be more apologetic, he thinks it would make them less vulnerable to Chinese criticism. “When things are tense, China can always pull out the lack of apology to create problems with Japan,” he notes. Many younger Japanese, however, are “tired” of hearing the same old thing. “They say, ‘Why should I apologise for things that happened before I was born?’ And they say, ‘We’ve apologised already. Why’s China pushing us?’” says the professor. “The Japanese know they did bad things in WWII. They realise a lot of countries have done bad things. And they want to improve relations. But they don’t feel that they’re uniquely bad people.”   Mr Xi’s current overtures to Japan come not only a few years after bilateral tensions had been heightened, but also a decade after China overtook Japan as the world’s second-largest economy. That has since meant a “readjustment” of their relationship. “(The Chinese) feel that they’re now in a strong position, that the power they worry about isn’t Japan but the US,” says Prof Vogel. And because China is Japan’s largest trading partner, and Japan is China’s second-largest trading partner after the US, “there’s a very deep interlinkage”. So he thinks an improvement in ties is the likely outcome in April. “The Japanese have a slogan: That the economics between China and Japan are hot, and the politics are cold. I think the politics can become lukewarm,” he adds. “They can calm things down and have better working relationships.”   But they do not “feel confident that they can rely on China to remain friends over a long period” — even if, as some commentators say, Mr Xi is attempting to slowly move Japan away from the US. “If I were Japanese and thinking where my dangers are coming from in the future, I don’t think I’d worry about what the US would do to me. But I’d worry about what the Chinese might do,” says Prof Vogel. “There’s no way the Japanese military budget can compare with China’s in future. In that situation, I think the Japanese still feel that if there were some kind of emergency or difficult issue, they’d want to rely on the US.” And that means keeping a deep defence relationship with the US.   NO CONSENSUS ON CHINA China’s economy is also poised to surpass that of the US — in the next 10 years, say some forecasters. But the problem with their relationship “is much deeper and is going to be harder to resolve”, says Prof Vogel. “(The US) feels that it’s the strongest power in the world. And (there are) those who feel it’s their responsibility to defend our country against any other country, especially one that’s communist, authoritarian and doesn’t respect human rights,” he adds. “The American people feel that this is a very different kind of country ... particularly since China has been advancing and building little islands in the South China Sea.” One of the big questions now is whether there will be a single, integrated global economy, or a split between the Chinese and US economies. The signs are ominous. “Many of the American companies that felt they were working with China quite well feel that they’re no longer as welcome, and that the Chinese government helps (Chinese) firms and makes things very difficult,” says Prof Vogel. “Google can’t operate in China the way it operates in the US. So there’s a feeling in America that (the Chinese) haven’t played by the same kind of rules.”   According to him, however, many of those who study China feel that the Chinese “have done far more to adapt”, and that the mood in Washington is “overblown”. There are far more people in China we can work with, and we feel that we have to work with them in a much more positive way — that if we treat them like an enemy, they can become an enemy. This view of his had prompted him, together with a group of diplomats and other academics, to write an open letter to US President Donald Trump last year, titled China Is Not The Enemy. This came about a year after an “influential article” in the Foreign Affairs magazine said engagement has not worked, which seemed to embody a Washington consensus that China “was something to worry about” and unite against.   Although there are not only Republicans, but also “a lot of Democrats who believe that”, Prof Vogel argues that a fair portion of Americans do not share that sentiment. Even the friends he grew up with in a small town in the Midwest “have different ideas about China”. “The anti-Chinese mood is much stronger in Washington than it is in America as a whole,” he says. “There’s a kind of frustration on the one hand and ... political opportunism, on the other hand, of congressmen and some people in Washington who hope to get jobs in future administrations (and) find it in their interests to be very tough on China.” Those who are like him, however, believe that China, the US and the world “would be better served by finding ways in which we can work with each other”. “There are many of us who hope that we can put America on a better path, but we don’t know (if we can),” he says. Watch the full exclusive interview here. CNA’s In Conversation airs on Fridays at 9pm.  "
"Britain's COP26 climate talks 'can't fail': UK's energy minister","12/02/2020","AFP/nr","https://www.channelnewsasia.com/news/world/britain-s-cop26-climate-talks-can-t-fail-uk-s-energy-minister-12428378"," PARIS: The world can't afford for crunch climate talks this year to fail, Britain's energy minister said Wednesday (Feb 12), despite the government not having named a leader for the summit starting in November. Speaking at an International Energy Agency (IEA) event in Paris, Kwasi Kwarteng said that the COP26 climate negotiations would be the ""top international priority"" for his government despite it occurring just weeks before the Brexit negotiation period is due to expire. ""We can't guarantee success,"" Kwarteng told country and industry representatives at the IEA. ""What I can commit to is that this is absolutely our number one priority as a government. ""I'm confident it will be a success because we really can't afford it to be a failure, not just on a global level. It's also on a national level given where we are with Brexit and other issues,"" Kwarteng added. The COP26 talks in November are the final negotiating session before the landmark 2015 Paris climate deal goes into effect. The accord saw nations pledge to limit global temperature rises to ""well-below"" two degrees Celsius and to work towards a safer cap of 1.5 degrees Celsius. To do so greenhouse gas emissions need to fall sharply - 7.6 per cent annually by 2030, according to the latest United Nations estimate. The IEA said Tuesday that emissions from energy, which account for the majority of manmade carbon pollution, had flatlined in 2019 after two successive annual increases. ""2019 is potentially an inflexion point but we have to work very hard to ensure it represents a peak number and not simply a staging post to even more emissions,"" said Kwarteng. He was speaking several days after Britain's original choice for COP26 president, former energy minister Claire O'Neill, was removed from the role. She responded with scathing criticism of Prime Minister Boris Johnson and his cabinet's handling of preparations. In a letter to Johnson leaked to the Financial Times, she warned: ""We are miles off track. ""You promised to 'lead from the front' and asked me what was needed 'money, people, just tell us!'. Sadly, these promises and offers are not close to being met."" O'Neill said that a COP26 planning sub-committee had not met once in the months since she was appointed, and told the BBC she believed Johnson ""really doesn't understand"" climate change. With just 1C of warming above pre-industrial levels so far, the world is already experiencing record heatwaves, wildfires and storm surges made worse by rising seas. The COP26 in Glasgow is the last chance for countries to accelerate their plans for voluntary emissions cuts. Current pledges have Earth on course to warm more than 3 degrees Celcius by 2100."
"BP boss Looney 'reinvents' oil giant with zero carbon goal","12/02/2020","Reuters","https://www.channelnewsasia.com/news/business/bp-boss-looney--reinvents--oil-giant-with-zero-carbon-goal-12428396"," LONDON: BP plans deep cuts to its carbon emissions by 2050, setting one of the oil sector's most ambitious targets, as part of the biggest overhaul in the company's 111-year history by new chief executive Bernard Looney. The targets set out by Looney on Wednesday put BP ahead of rivals Royal Dutch Shell , Total , Equinor and all of the U.S. oil majors. ""We have got to change and change profoundly because the world is changing fast and so are society’s expectations of us,"" he said in his first major speech as CEO. ""We need to reinvent BP,"" he said earlier in a statement. BP did not specify how it intends to reach its 2050 targets to get emissions from its operations and barrels produced to net zero and halve the intensity of emissions by all products it sells, which include diesel or petrol. Smaller Spanish rival Repsol has set similar net zero carbon targets for the oil products it sells, also known as Scope 3, at a cost of more than US$5 billion. This does not include emissions from products it markets but which were produced by other groups, Repsol said. The huge scale of BP's operations puts its aims at the vanguard in oil and gas. BP has tried reinventing itself before. A pioneering plan to build a large renewables business in the early 2000s ended with huge losses. Since then, the world's top oil and gas companies have come under heavy pressure from investors and climate activists to meet the 2015 Paris climate goal of limiting global warming to below 2 degrees Celsius from pre-industrial levels. ""The world’s carbon budget is finite and running out fast; we need a rapid transition to net zero. We all want energy that is reliable and affordable, but that is no longer enough. It must also be cleaner,"" Looney added. Shares in BP were up 1.3per cent at 1423 GMT, roughly in line with the broader European energy sector index after the news, which confirmed a Reuters report in January. BP's absolute net zero carbon target relates to every barrel it produces, based on its equity stake in oil and gas fields, from the well to the petrol station. It does not encompass oil products which BP markets but does not produce itself. This is a uniquely structured target for oil majors, which, apart from Repsol, have not set any absolute reduction targets for any of its Scope 3 emissions. BP, which produced around 2.64 million barrels of oil equivalent per day in 2019, said it would cut its emissions to net zero from some 415 million tonnes of carbon dioxide equivalent a year. A spokesman said near-term plans would be published by a September investor day. One way of reaching greenhouse gas reduction targets is to offset certificates and bet on carbon capture and storage technology which is not yet used at a commercial scale. U.S. groups such as Exxon , Chevron and ConocoPhillips are far less ambitious with their greenhouse gas reduction targets than their European rivals. (Graphic: Oil majors&apos; carbon emissions png - https://fingfx.thomsonreuters.com/gfx/editorcharts/OIL-CARBON/0H001QEMZ7NW/eikon.png) Anglo-Dutch group Shell has set Scope 3 targets based on intensity rather than on absolute reduction terms. Intensity-based targets measure the amount of greenhouse gas (GHG) emissions per unit of energy or barrel of oil and gas produced. That means that absolute emissions can rise with growing production, even if the headline intensity metric falls. Scope 3 emissions vastly exceed greenhouse gases caused by the production of crude oil, natural gas and refined products, including electricity generation, typically by a factor of about six among oil majors, according to Reuters calculations. Greenpeace said BP's plan left many questions unanswered. ""How will they reach net zero ... When will they stop wasting billions on drilling for new oil and gas we can't burn?,"" Charlie Kronick, Oil Advisor from Greenpeace UK, said. 'NEW EXPECTATIONS' BP will set ""new expectations"" for relationships with trade organisations and be ready to quit them if they are not aligned. Last year, BP invested around US$500 million in low-carbon technologies including wind power, electric vehicle battery charging systems and solar power firm Lightsource BP. That compared to an overall budget of US$15.2 billion in 2019. In one of its biggest-ever changes, BP will dismantle the traditional model of an oil and gas production, or upstream, unit and a refining, trading and marketing, or downstream, unit. ""We need to become more integrated and more focused,"" Looney said. A new production and operations unit, which include oil and gas production as well as refining and chemicals, will be led by Gordon Birrell. Meanwhile, customers and products will be led by Emma Delaney, gas and low carbon energy by Dev Sanyal, while innovation and engineering will be led by David Eyton. (Graphic: Going green? png - https://fingfx.thomsonreuters.com/gfx/editorcharts/OIL-RENEWABLES/0H001QXXMBJP/eikon.png) (Editing by Louise Heavens and Alexander Smith)"
"Shareholder activists test JPMorgan's Dimon on climate proposals","12/02/2020","Reuters","https://www.channelnewsasia.com/news/business/shareholder-activists-test-jpmorgan-s-dimon-on-climate-proposals-12428330"," BOSTON/NEW YORK: Shareholder activists focused on climate issues vowed to press proxy battles with JPMorgan Chase & Co after getting a cold reception from the top Wall Street bank, even though Chief Executive Jamie Dimon has vowed to protect the environment. Activists, including the As You Sow Foundation, Trillium Asset Management and Boston Trust Walden, said they had received notices that the bank has asked for regulatory permission to skip votes at its spring annual meeting on proposals such as reporting on greenhouse gas emissions tied to its lending. JPMorgan's position creates reputational risks at a time when clients and investors want banks to help slow the rate of a global rise in temperature, according to a joint statement from the activists on Wednesday. ""They're not walking their talk,"" said Danielle Fugere, president of As You Sow, in an interview. She noted how, in correspondence with the U.S. Securities and Exchange Commission posted on the agency's website, JPMorgan argued that her group's request for an emissions report amounted to an attempt to ""micromanage"" the company. ""I was surprised at the depth and breadth of the argument saying there’s no way you can talk to us about anything,"" Fugere said. JPMorgan representatives did not immediately comment. Top U.S. corporations routinely seek permission to skip controversial shareholder proposals. Activists have also targeted other banks and energy companies with climate proposals this year and hope to get a boost from a recent announcement by top asset manager BlackRock Inc to put more focus on environmental issues. Indeed, other banks have been more receptive to such proposals, or at least, not tried to block them, said Christina Cobourn Herman, program director at the Interfaith Center on Corporate Responsibility, which represents the activists. The group says JPMorgan is the largest financier of the fossil fuel industry among 33 top global banks. Dimon has expressed support for the Paris Agreement to combat global climate warming, and in August joined the CEOs of more than 180 U.S. companies who signed a ""statement of corporate purpose,"" arguing that corporate America should focus on social responsibility, including protecting the environment. (Reporting by Ross Kerber in Boston and Elizabeth Dilts Marshall in New York; Editing by Bernadette Baum)"
