author,content,description,publishedAt,source/id,source/name,title,url,urlToImage
"Elizabeth Yuko","The past few weeks have been a trying time for everyone as we deal with the coronavirus pandemic. But for many people (myself included), some of the most stressful moments have come from discussing COVID-19 with our parents, grandparents and other older relat… [+8960 chars]","The past few weeks have been a trying time for everyone as we deal with the coronavirus pandemic. But for many people (myself included), some of the most stressful moments have come from discussing COVID-19 with our parents, grandparents and other older relat…","2020-03-17T18:30:00Z","","Lifehacker.com","How to Convince Your Parents or Grandparents that the Coronavirus is Dangerous","https://lifehacker.com/how-to-convince-your-parents-or-grandparents-that-the-c-1842358582","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/wckrfwpcxefi176iokpo.png"
"Marc DeAngelis","According to The Verge, the updated veggie meatballs will be made out of apples, oats, peas and potatoes. They'll be available both as an in-restaurant meal and a frozen package to make at home. IKEA hopes that the new taste will be more attractive to meat ea… [+576 chars]","A trip to IKEA isn't complete without a plate of Swedish meatballs. While the company offers a vegetarian version of its iconic meal, the veggie meatballs don't taste much like meat. Joining the trend set by fast food chains like Burger King and KFC, the furn…","2020-02-27T16:46:00Z","engadget","Engadget","IKEA’s new vegetarian meatballs will taste more like meat","https://www.engadget.com/2020/02/27/ikea-vegetarian-meatballs/","https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2020-02%252F008ab370-597f-11ea-b7cb-9cfa73e20bdd%26client%3Da1acac3e1b3290917d92%26signature%3De0336d579c11a38643c4aef76b7ab29a4f57e17b&client=amp-blogside-v2&signature=6054ed648cf1ef48d020eba6f724b09430fe882c"
"Steve Dent","The wheels are pushed well to the corners to maximize space in the interior, which has plenty of the tech you'd expect in a concept EV. Joysticks are used to control it in place of a steering wheel and have buttons that let the driver access various functions… [+1841 chars]","Hyundai has unveiled a new concept EV called the Prophecy with an ultra-aerodynamic profile and joysticks instead of a steering wheel. Meant to be on display at the cancelled Geneva Motor Show, the electric car aims to convey Hyundai's current design style ca…","2020-03-03T07:00:00Z","engadget","Engadget","Hyundai's slippery Prophecy concept EV is controlled by joysticks","https://www.engadget.com/2020/03/03/hyundai-prophecy-concept-electric-car/","https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2020-03%252F10f60e40-5cad-11ea-bbff-f6a7613e644c%26client%3Da1acac3e1b3290917d92%26signature%3D687d258a4f7e17fa8fab35d76923f9fab8971957&client=amp-blogside-v2&signature=7ff89ce1f24a4cc4ca65e9b2ab58d91f755a6a75"
"Devindra Hardawar","""This season is based on my belief that we have what it takes to get to a real exciting future,"" Druyan said in an interview with Engadget. ""I base my belief on stories of the courage of our ancestors, the generations of searchers for the truth who have been … [+1911 chars]","In a time where it's easy to feel a bit concerned about the fate of civilization -- take your pick of calamities, really -- National Geographic's Cosmos is like a hope-filled salve. Developed by Ann Druyan, the co-creator of the original show together with he…","2020-03-06T17:30:00Z","engadget","Engadget","‘Cosmos: Possible Worlds’ finds hope for humanity in a hopeless era","https://www.engadget.com/2020/03/06/cosmos-possible-worlds-review/","https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C900%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C900%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2020-03%252F0a13c8d0-5fcb-11ea-af19-12366f51a842%26client%3Da1acac3e1b3290917d92%26signature%3D5c1d533eeb1643c32b91c016b809ac9be5722797&client=amp-blogside-v2&signature=38d1addb85d3d22cfb4c2ab4ffc96238ab84a000"
"Engadget","Goodbye doesn't mean forever.The gadgets that refuse to die\\n\\nAs Sonos most recently proved, your gadgets weren't meant to live forever. Any Engadget editor will point out his or her drawer or cupboard (or wardrobe) filled with tech from yesteryear. Not every … [+2662 chars]","Hey, good morning! You look fabulous. Amazon is offering faster same-day delivery that could get your order to you in a matter of hours. There will apparently be up to three million items marked ""Today by"" available to order for speedy same-day delivery to Pr…","2020-03-04T12:30:00Z","engadget","Engadget","The Morning After: Amazon's accelerated one-day shipping","https://www.engadget.com/2020/03/04/amazon-one-day-morning-after/","https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2020-03%252F132004c0-5e0e-11ea-becd-c4276a41dbcf%26client%3Da1acac3e1b3290917d92%26signature%3D85a381fe47bfa5b29bb090bc4ab5ea1768009969&client=amp-blogside-v2&signature=6d04f9936d288ba0bbfee372122ef23fdefdc77e"
"Gilad Edelman","For a brief moment there, it looked as though the coronavirus pandemic might escape the muck of partisanship. \\n\\nIts true that Donald Trump, wary of a recession during a reelection year, had first tried to talk the virus into submission. His counterfactual ins… [+4389 chars]","First deny the problem, then say the solution is too expensive? The playbook here is all too familiar.","2020-03-25T18:59:54Z","wired","Wired","The Analogy Between Covid-19 and Climate Change Is Eerily Precise","https://www.wired.com/story/the-analogy-between-covid-19-and-climate-change-is-eerily-precise/","https://media.wired.com/photos/5e7ba5188283f9000a41518c/191:100/w_1280,c_limit/Ideas-COVID-Climat-1207216812.jpg"
"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo","The world is warming. Thatsnosecret. Extreme heat isnt only dangerous for our physical health, though. New research shows hotter days may hurt our mental health as well.\\n\\nA study published Wednesday in the journal PLOS One adds to a growingbodyof literature s… [+5109 chars]","The world is warming. That’s no secret. Extreme heat isn’t only dangerous for our physical health, though. New research shows hotter days may hurt our mental health as well. Read more...","2020-03-26T16:40:00Z","","Gizmodo.com","Hotter Days May Leave You More Stressed, Depressed","https://earther.gizmodo.com/hotter-days-may-leave-you-more-stressed-depressed-1842509864","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/k3jn8rikqg7tygevgxpl.jpg"
"Dharna Noor on Earther, shared by Brian Kahn to Gizmodo","As both the coronavirus pandemic and the climate crisis provoke your anxieties, its important to remember all of the worlds wonderful possibilities. Which is why I present you: the impacts of nuclear war.\\n\\nA large-scale nuclear war is a nightmarish scenario t… [+4521 chars]","As both the coronavirus pandemic and the climate crisis provoke your anxieties, it’s important to remember all of the world’s wonderful possibilities. Which is why I present you: the impacts of nuclear war. Read more...","2020-03-16T19:05:00Z","","Gizmodo.com","Even a Relatively Small Nuclear War Would Cause Global Famine","https://earther.gizmodo.com/even-a-relatively-small-nuclear-war-would-cause-global-1842361610","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ha2wcjah8swtaipozc9i.jpg"
"Dharna Noor on Earther, shared by Kaitlyn Jakola to Gizmodo","In the 1930s, manufacturers began using chlorofluorocarbonsgreenhouse gases made up of carbon, chlorine, and fluorineas refrigerants for air conditioners, aerosol sprays, refrigerators, freezers, and more. The problem is, those chemicals depleted the ozone la… [+2974 chars]","In the 1930s, manufacturers began using chlorofluorocarbons—greenhouse gases made up of carbon, chlorine, and fluorine—as refrigerants for air conditioners, aerosol sprays, refrigerators, freezers, and more. The problem is, those chemicals depleted the ozone …","2020-03-17T16:40:00Z","","Gizmodo.com","Old Air Conditioners and Refrigerators Are Keeping Us From Healing the Ozone Hole","https://earther.gizmodo.com/old-air-conditioners-and-refrigerators-are-keeping-us-f-1842379660","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/gzy3ldn7c1q07no4xxuk.jpg"
"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo","The worsening global crisis wrought by COVID-19 is leading to canceled international negotiations and wasteful ghost flights. And now its projected to lead to the first drop in oil demand in more than a decade.\\n\\nThe International Energy Agencys (IEA) updated … [+4286 chars]","The worsening global crisis wrought by COVID-19 is leading to canceled international negotiations and wasteful “ghost” flights. And now it’s projected to lead to the first drop in oil demand in more than a decade. Read more...","2020-03-09T16:02:00Z","","Gizmodo.com","Yearly Oil Demand Is Now Projected to Drop for the First Time in a Decade Due to COVID-19","https://earther.gizmodo.com/yearly-oil-demand-is-now-projected-to-drop-for-the-firs-1842211458","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ot53phqjnes0grngf9ep.jpg"
