"Date","Tweet","Location","Retweets","Link to tweet"
"18-02-2020","We hear about #Global #warming everyday and we are all seeing the effects through the extreme #weather, #pollution, and #waste. You can help to, by installing a #renewable #heating solution into your home.  #heatpump #groundsource #airsource. https://t.co/NBZqwNXfkF https://t.co/ri1IiEqRjQ","Folkestone","0","https://twitter.com/ReinaGroup1/status/1229760033635917824"
"18-02-2020"," @Univrslfeelings: Amazon’s Jeff Bezos pledges $10 billion to combat #Amazon #Jeff #Bezos #Pledges #10billion #Dollar #Global #Warming #C...","","1","https://twitter.com/Baqarsajjad2/status/1229732363925688321"
"18-02-2020","Amazon’s Jeff Bezos pledges $10 billion to combat #Amazon #Jeff #Bezos #Pledges #10billion #Dollar #Global #Warming #Climate #Change #Weather #Updates #news #Latest #Feelings #Universalfeelings   https://t.co/G2LdDtkvuc","","1","https://twitter.com/Univrslfeelings/status/1229657382701105152"
"18-02-2020","#ClimateChange #denials & #fossilfuel #lobbies.. “Their goal: to spread doubt on #human #responsibility for current #global #warming. Their opponents are anyone who recognize this responsibility: #politicians, #activists #journalists & #climate #researchers.” https://t.co/EdQcPDG3li","Milan, Italy, Europe, World 🌍","0","https://twitter.com/PaolaFiore/status/1229532957691564032"
"18-02-2020","Being smart while driving and cutting down or even cutting meat altogether helps a ton. (actually 2 tons of co2 a year) https://t.co/Dzq20vXGTs We have to adapt, we can adapt. #seattle #vegan #vegetarian #veggie #food #globalwarming #health #global #warming #planet #earth https://t.co/TPdrSwQAoy","","0","https://twitter.com/DamonMedek/status/1229465730762051584"
"18-02-2020","👉🏻 Collaborate 👉🏻 https://t.co/dUCrmi3xqM⚡🌧️⛅☀️   @Dknarf: Feb 17,2020  55 degrees in New York today ...Damn I love global Warming 😀!  #climate  #ClimateCrisis  #Global... https://t.co/i12JXdEZTb","EU","0","https://twitter.com/climatechanges9/status/1229461305976852481"
"18-02-2020","Feb 17,2020  55 degrees in New York today ...Damn I love global Warming 😀!  #climate  #ClimateCrisis  #Global  #GlobalWarming  #ClimateChange  #aoc  #ClimateChangeHoax https://t.co/dFyTPZEOj2","New York, USA","0","https://twitter.com/Dknarf/status/1229460942884347904"
"18-02-2020"," @StellaYeahilike: #ad DEAR FRIENDS, welcome You to check out MY SONs Video >> On GLOBAL WARMING AND RISING SEA LEVELS >>>> https://t.co...","Singapore","19","https://twitter.com/StellaSanLF/status/1229441632082071555"
"17-02-2020"," @Albert_Ferrari_: First post of the blog of our project  #LifeDicet by Simone Borghesi: life will tell the role of the integration of #c...","Florence, Italy","1","https://twitter.com/FSR_Energy/status/1229322843047047168"
"17-02-2020","Human body loses its natural ability to sweat & cool down at temp above 35°C at 100% humidity. At a wet bulb temperature of 35 °C or higher, we can survive outdoors for at most a couple of hours. #global #warming #India #manpower https://t.co/c4Ak96UngW","Mumbai, India","0","https://twitter.com/paritoshsings/status/1229291915184672768"
