"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Vandaag hier, morgen elders.","19","https://twitter.com/Bijzonderheid/status/1230142419603263488"
"19-02-2020","  Is this our childrens future? What might  change mean for power, democracy and equality? Dread to think? Get your t...","Link to Writers Guild profile","4","https://twitter.com/KulvinderGill/status/1230140511522086912"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Falmouth, UK","19","https://twitter.com/KalHarv/status/1230139451885727744"
"19-02-2020"," As  change is a global phenomenon, it will take efforts by economies large and small to tackle the problem. ☀️  ⛈️ This paper discusses the steps along the causal chain from physical  to impacts on human and natural systems https//t.co/36QB6wd0sB https//t.co/3YaEWw6uSr","Tokyo, Japan","0","https://twitter.com/ADBInstitute/status/1230139244443729920"
"19-02-2020","Tonights  will feature questions from the first  journalist to moderate a presidential .If we dont have a planet to live in, immigration, the economy, and health care are not going to be a priority. https//t.co/9Dvxfwh1bb","Washington, D.C.","0","https://twitter.com/ByTomFrank/status/1230138779366805504"
"19-02-2020","  Last day to submit your abstract to PLPF9 conference!!!  The focal theme of the congress is Global Change and Terrestrial-Aquati...","Braga, Portugal","3","https://twitter.com/tano_gc/status/1230137527446757377"
"19-02-2020","  Oh yes, Mr. Hagee. There is a storm coming all right and words arent going to calm it. Its called catastrophic global climate change and neither Jesus nor your beloved Don Trump is going to fix it for you or anybody else.     https//t.co/uvrDKgwLDK","Wherever","0","https://twitter.com/ashabot/status/1230137168477216768"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Karlstad, Sweden","19","https://twitter.com/ejvanc/status/1230136617505038336"
"19-02-2020","Opinion  How An Intelligent Society Would Deal With Climate Change          https//t.co/ddVpKk6Hww","ÜT 41.859568,-72.743002","0","https://twitter.com/Rideshare_Co/status/1230136589994602497"
"19-02-2020","EAH 51 was born to help business leaders embrace sustainable and inclusive economic models. Our role is to influence positive change through creating Better businesses for a better world. https//t.co/tBm21hbh4x       https//t.co/hqL0O4Gnps","United Kingdom","0","https://twitter.com/EARTH__51/status/1230135178670092289"
"19-02-2020"," Change in California San Francisco Faces Rising Seas https//t.co/VZSzfr4SLU   ","New York, USA","0","https://twitter.com/gridpointwx/status/1230134837371166720"
"19-02-2020",". to rebrand as NatWest Group and become a purpose-led bank focused on climate, learning and enterprise.     change   https//t.co/VpYyfNntKN","Bournemouth","0","https://twitter.com/Redweb/status/1230134693019799552"
"19-02-2020"," Change in California San Francisco Faces Rising Seas https//t.co/h8AOEw7K55   ","NY","0","https://twitter.com/TimMelino/status/1230134676980948993"
"19-02-2020","What Will Turn The Tide of  Individual Action or  Action?  Read out to know more about how can we tackle the  and .  https//t.co/lR11pVsBu4     ","India","0","https://twitter.com/urbanvoicesin/status/1230133810228006912"
"19-02-2020","  Join me at  on Friday to discuss ,  change, and future of   If you cant make i...","Riga","1","https://twitter.com/so_on/status/1230133636747452418"
"19-02-2020","  Yesterday the  met with  in Bonn to discuss the industry’s  and  Change Commitment Decla...","","2","https://twitter.com/WBAtweets/status/1230133292856467461"
"19-02-2020","  ICYMI  is a let-down on the environment and climate change.  Were in biodiversity and  crises, and we...","East Kootenay","9","https://twitter.com/sparkyofAlberta/status/1230133268051197953"
"19-02-2020","  Young people inspired to pursue  change careers due to ‘the  effect https//t.co/hPZHHmKW3k https//t....","","2","https://twitter.com/jurrunaga/status/1230133056465448960"
"19-02-2020","  Climate change Fertiliser could be used to power ocean-going ships ⁦⁩   ...","Leicester, UK","1","https://twitter.com/NewCollegeLeics/status/1230133029961641985"
"19-02-2020","Blog Post -->https//t.co/0MIWjosN2G The   derives value from municipal & industrial . What do you do with your waste? Lets coordinate ourselves to generate  and  opportunity while impacting  change positively. https//t.co/5rLbxC71PJ","Pretoria","0","https://twitter.com/Uzenzele/status/1230132313754947585"
"19-02-2020","  Congratulations  for gin! A transdisciplinary process with research by Lienhardt et al. Just the tonic!  ...","Burntisland, Scotland","8","https://twitter.com/kirstyMTait/status/1230131925697822720"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","","19","https://twitter.com/_Distel_/status/1230131864150708225"
"19-02-2020","Climate change Fertiliser could be used to power ocean-going ships ⁦⁩      https//t.co/0565eg0tAT","","1","https://twitter.com/Jenniferrrls/status/1230130306025431040"
"19-02-2020","We applaud ’s $10B pledge to combat climate change! ’ Earth Fund to begin issuing grants to climate change mitigation causes as soon as this summer. Hope to see more pledges like this one from the world’s largest corporations this year!   https//t.co/xAWzUCtdQz","New York, NY","0","https://twitter.com/DynamoEnergyHub/status/1230130286459006976"
"19-02-2020","  Yesterday the  met with  in Bonn to discuss the industry’s  and  Change Commitment Decla...","London","2","https://twitter.com/adbioresources/status/1230129815690383361"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","","19","https://twitter.com/ClimateFirst2/status/1230129767611015179"
"19-02-2020","Jan van Gils  about his research on shrinking birds on  Why does   affect the weight of the  (in Dutch). Link to interview  https//t.co/NR9mWnRGIg        https//t.co/pMPEMBGccu","Texel, Nederland","0","https://twitter.com/NIOZwdrc/status/1230129747528683520"
"19-02-2020","  Last day to submit your abstract to PLPF9 conference!!!  The focal theme of the congress is Global Change and Terrestrial-Aquati...","Guimarães, Portugal","3","https://twitter.com/IsabelRF84/status/1230129607535452161"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Hamburg","19","https://twitter.com/MartinMosel/status/1230128699636404224"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Hounslow, London","19","https://twitter.com/bashrunway3/status/1230128566282653696"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","","19","https://twitter.com/brgsstm/status/1230126137579315200"
"19-02-2020","  Congratulations  for gin! A transdisciplinary process with research by Lienhardt et al. Just the tonic!  ...","Aberdeen and Dundee, UK","8","https://twitter.com/JamesHuttonInst/status/1230126107799818240"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Galway, Ireland","19","https://twitter.com/TTGalway/status/1230126080008347648"
"19-02-2020","States always act very late in the catastrophes they suffer in their countries. In , New Orleans took the government 10 days to help them. In   weeks and nothing stays the same! No one is ready for this  change https//t.co/T8KJXjmfqU","Track  Panama City","0","https://twitter.com/panamarhradio/status/1230125892132855810"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Barcelona","19","https://twitter.com/ManuelGrebe/status/1230124395512942592"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","South East, England","19","https://twitter.com/A6FVC/status/1230123138312261633"
"19-02-2020","  Young people inspired to pursue  change careers due to ‘the  effect https//t.co/hPZHHmKW3k https//t....","","2","https://twitter.com/WatermanGlenna/status/1230122997677203456"
"19-02-2020"," has a  to   and it doesn’t need  https//t.co/WlyXA0iDIx via            ","Longview, TX","0","https://twitter.com/DiabeticCyborgg/status/1230122556788748290"
"19-02-2020","  [2/25] Join  at the  of  s latest book on the  and  of  cha...","","1","https://twitter.com/OlufemiOTaiwo/status/1230122550304419840"
"19-02-2020","Young people inspired to pursue  change careers due to ‘the  effect https//t.co/hPZHHmKW3k https//t.co/ZDfZaXS6jU","London UK","2","https://twitter.com/EIA_News/status/1230122401964445697"
"19-02-2020","  Is this our childrens future? What might  change mean for power, democracy and equality? Dread to think? Get your t...","Bath, Somerset","4","https://twitter.com/GreenVipul/status/1230122095717371904"
"19-02-2020"," $10  isn’t the  for  to   https//t.co/OJHaa8Q9mR via      ","Longview, TX","0","https://twitter.com/DiabeticCyborgg/status/1230121926326132736"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","","19","https://twitter.com/GGTierindustrie/status/1230121393989222401"
"19-02-2020","Yesterday the  met with  in Bonn to discuss the industry’s  and  Change Commitment Declaration to deliver major emissions reductions by 2030. 🇺🇳  Read the press release  https//t.co/mHbb8jdf6S    https//t.co/i9PV0PVKMS","","2","https://twitter.com/BiogasChannel/status/1230120711592841222"
"19-02-2020","A recent study suggests that winter as we know it is changing in the Northeast. As snow disappears, so could maple syrup & skiing from the Northeast. What will winter become for those places?     https//t.co/j9CL7gHiFU","Jacksonville, Florida","0","https://twitter.com/pianobug/status/1230120251704172545"
"19-02-2020","  If you want to really understand why  is not taking action on  and  change. Dont buy the story about j...","London","3","https://twitter.com/NVJRobins1/status/1230119884966780929"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Atlanta, GA","19","https://twitter.com/blairmacintyre/status/1230119439888199680"
"19-02-2020","  Climate change its a fact not an opinion.      ...","Durham, NC","14","https://twitter.com/XrDurham/status/1230119384498278400"
"19-02-2020","  Attending  in  today. Discussing the Commissions tax agenda, OECDs tax reform & ideas on how to adapt...","Brussels","1","https://twitter.com/AccountancyEU/status/1230119167434674176"
"19-02-2020","  Is this our childrens future? What might  change mean for power, democracy and equality? Dread to think? Get your t...","Larkhall, Bath.","4","https://twitter.com/RondoTheatre/status/1230117264588001280"
"19-02-2020","  Is this our childrens future? What might  change mean for power, democracy and equality? Dread to think? Get your t...","Cardiff, Wales, UK","4","https://twitter.com/RussGascoigne1/status/1230115357186232320"
"19-02-2020","Is this our childrens future? What might  change mean for power, democracy and equality? Dread to think? Get your tickets for this dark   in pre-tour development  - 2 March, Bath,   https//t.co/bKKdm5mqVD https//t.co/wLZVfXTBNk","UK","4","https://twitter.com/gill_kirk/status/1230115077602390017"
"19-02-2020","Scientists are scrambling to find ways to slow — let alone reverse — the damage caused by human pollution and fossil-fuel emissions.  So here’s some moderately good news in the era of climate change.         https//t.co/JnIJSCq7M6","Columbia MD 21045","0","https://twitter.com/Innoteq2/status/1230115064960733184"
"19-02-2020","[2/25] Join  at the  of  s latest book on the  and  of  change. He & panel discuss how we can be  . With      RSVP https//t.co/T7PWtA5buy","Washington, DC","1","https://twitter.com/research_sis/status/1230115064314814464"
"19-02-2020","  One of the best articles on  and its  problem we have read so far. Detailed analysis and very critica...","Ramsgate, England","19","https://twitter.com/jjh51012/status/1230114536721657862"
