"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","Homelands","6","https://twitter.com/joanneinvan604/status/1230122143733538816"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","Anishinaabe Territory","6","https://twitter.com/chiefstonefox/status/1230072819058401280"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","British Columbia ","6","https://twitter.com/TerrencePaul5/status/1230052262166188032"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","","6","https://twitter.com/SusanaDee/status/1230037519158300672"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","Abbotsford BC Canada","6","https://twitter.com/savoirfaire_2/status/1230036074086289409"
"19-02-2020","  Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau...","Niitsítpiis-stahkoii treaty 7 ","6","https://twitter.com/TommyChong840/status/1230029603789369345"
"19-02-2020","Criminal that Canadas Politicians w tear the country apart on behalf of  Fuels during a  Unless Trudeau & Horgan have a major change of heart & direction, we are surely heading for a long period of civil unrest  for  https//t.co/rk4h9BT6yg","","6","https://twitter.com/cindian1/status/1230029505655230465"
"19-02-2020","  Another reason to  that funds  fuels and  If we don’t, it could blow up the...","","1","https://twitter.com/presenceoftish/status/1229901010270859266"
"18-02-2020","This is so crucial -- please sign  Free https//t.co/BIs0ZJmQU6 via ","Edinburgh","0","https://twitter.com/elliemayze/status/1229543219886723072"
"18-02-2020","  . Countries most reliant on  fuels  1/  Africa 2/  3/  4/  5/ ...","","1","https://twitter.com/news_polish/status/1229499412721938436"
"18-02-2020",". Countries most reliant on  fuels  1/  Africa 2/  3/  4/  5/  6/  7/  Korea 8/  9/  Arabia 10/  11/    Good luck demonstrating in , ,  and  ","South Benfleet, Essex, UK","1","https://twitter.com/patchworkqueeni/status/1229499389376376832"
"17-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","Boston, MA","8","https://twitter.com/grawoig/status/1229410210193821696"
"17-02-2020","This is so crucial -- please sign  Free https//t.co/4zBz3ZyV1d via ","Hertfordshire","0","https://twitter.com/CapenerRhian/status/1229403203676102658"
"17-02-2020","This is so crucial -- please sign  Free https//t.co/RGGOJvexND via ","England","0","https://twitter.com/chagmk/status/1229401321884745733"
"17-02-2020","    See? I lovedthat video clip!  is Our future. Solid One.   From  to  in Our Homes & Offices,  is needed in addition to other sources to offset this worldly !  We need to leave the old ideas.  Fuels & Coal. Is killing US. https//t.co/O5ZcUhoH1T","Atlanta, GA USA","0","https://twitter.com/JanZackBeasley/status/1229384197674078209"
"17-02-2020","This is so crucial -- please sign  Free https//t.co/cMa8ko88eL via ","Bath, England","0","https://twitter.com/emma_dahhhling/status/1229384068023881728"
"17-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","","8","https://twitter.com/AdventAustralia/status/1229178896794488841"
"17-02-2020","This is so crucial -- please sign  Free https//t.co/2PW3C0plM6 via ","UK","0","https://twitter.com/itsmarybrady/status/1229096021495513088"
"16-02-2020","  Dear , we are in a  & you committed to  from -wrecking   in 2014...","","2","https://twitter.com/DivestSPF/status/1229020453899030528"
"16-02-2020","This is so crucial -- please sign  Free https//t.co/NkPuovKN0o via ","Norwich","0","https://twitter.com/BorehamIan/status/1228987321862819846"
"16-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","","8","https://twitter.com/levaly2/status/1228984156144783360"
"16-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","Eng./Esp. blog in development","7","https://twitter.com/EnviroDefenders/status/1228956669247229953"
"16-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","California, USA","8","https://twitter.com/msicefan/status/1228949153474105344"
"16-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","","8","https://twitter.com/_INPST/status/1228947888333606913"
"16-02-2020","  A  on  fuels may rescue  from destruction and the upcoming . https//t.co/Xmc29FTZ8y...","","8","https://twitter.com/isa_uruguay/status/1228944302358790144"
