"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020","  The  top energy provider  emits tons of  through leaking pipelines & also burns gas from oil drills. ht...","Planet Earth","1","https://twitter.com/TerliWetter/status/1230142565028155393"
"19-02-2020","The  top energy provider  emits tons of  through leaking pipelines & also burns gas from oil drills. https//t.co/cXJhAQsxbD  This cant continue.  is often overlooked as a heat-trapping  gas, but its as bad as   https//t.co/swYYAXnq4L","Berlin","1","https://twitter.com/EWGnetwork/status/1230142284034924554"
"19-02-2020","For New England states to cut  gas emission 80% by 2050,  output may have to double to charge  and to replace gas heat with electric heat pumps, study shows. A new wave of questions is emerging that must be answered. https//t.co/r1JDiIfIrz","Washington, D.C.","0","https://twitter.com/ByTomFrank/status/1230136874892775424"
"19-02-2020"," gases converted to fuel and hydrogen by  scientists. Article here https//t.co/FYUnfazKRZ    ","Manchester, England","0","https://twitter.com/equituseng/status/1230107407713435648"
"19-02-2020","  Recent research published in Nature found that plastics now account for 3.8% of global  gas emissions—nearly doub...","Warsaw","1","https://twitter.com/CMR_Warsaw/status/1230017154487066625"
"19-02-2020","An analysis shows burning LSFO increases greenhouse gas emissions. That makes burning HSFO in a scrubber-equipped ship the optimal solution to climate change. https//t.co/8s7JHBerOw           https//t.co/jcPykq3RiH","Worldwide","0","https://twitter.com/pacificgreentec/status/1229977676691181569"
"19-02-2020"," please change your position on methane & fracking.  is NOT a . Methane is a  gas and releases  when burned. Methane () is a bad double whammy.    https//t.co/j2qESnYBjW","Alexandria, VA","0","https://twitter.com/envirohealthdoc/status/1229969188023885825"
"19-02-2020","Recent research published in Nature found that plastics now account for 3.8% of global  gas emissions—nearly double the emissions of the aviation sector. Sourcehttps//t.co/y2yWuTmZlr https//t.co/cNfaENNf3g","Liverpool, England","1","https://twitter.com/econscan/status/1229928371708141568"
"19-02-2020","   gas emissions under    govt are increasing  ...","","3","https://twitter.com/wnhynd/status/1229892093541093376"
"19-02-2020","The amount of  gas emissions per gallon of  produced by    is down more than 45% over the past 50 years, according to a new study published by the Journal of Dairy Science. https//t.co/KANKDfvvRn https//t.co/NlnUrvli4F","Lenexa, KS","0","https://twitter.com/TrustInFoodFJ/status/1229849891796590598"
"19-02-2020","   gas emissions under    govt are increasing  ...","melbs","3","https://twitter.com/martsle40gig/status/1229822079492427776"
"18-02-2020","  Interestingly  can combat  because it creates no direct  gas emissions.  Well done...","Lagos","1","https://twitter.com/Hoyedipupo/status/1229779983423328258"
"18-02-2020","Interestingly  can combat  because it creates no direct  gas emissions.  Well done Jeff  We are all fighting  the best way we can..           https//t.co/ysDGDj7mph","Lagos","1","https://twitter.com/Hoyedipupo/status/1229779887319285760"
"18-02-2020","  What are your tips to reduce food waste?  Wasted and lost food accounts for almost 10% of all our  gas emissio...","","1","https://twitter.com/_Qiqly/status/1229692899295727616"
"18-02-2020","What are your tips to reduce food waste?  Wasted and lost food accounts for almost 10% of all our  gas emissions, according to the UN.  https//t.co/pvS5GLDwZq       ","","1","https://twitter.com/Green_Books/status/1229692233043136512"
"18-02-2020","   gas emissions under    govt are increasing  ...","Logan, Queensland, Australia","3","https://twitter.com/savillj013/status/1229673578846572544"
"18-02-2020"," gas emissions under    govt are increasing   https//t.co/2iefKXwo9x","Logan, Queensland, Australia","3","https://twitter.com/savillj013/status/1229622622469517312"
"18-02-2020"," and forest degradation are responsible for about 15% of    . Where Forest singly holds 80% of above ground - terrestrial carbon and 40% of below ground terrestrial carbon of the Earth.","नेपाल","0","https://twitter.com/TharuDeBhumi/status/1229597455882313728"
"18-02-2020","Iain Patton, CEO  The main  challenge for   this year is definitely how they are going to rapidly cut their  gas  and reach net zero targets. | Hazel Davis   https//t.co/UGQeI9yOi3   https//t.co/RQ2iA3f3gS","Kolkata, India","0","https://twitter.com/LetsTalk06/status/1229593574376906752"
"18-02-2020","From  Inc. to  many large companies say commitments to curb -gas emissions & buy green power are becoming important to recruiting and retaining workers, especially younger ones https//t.co/qsog6orDBp via ","Green state of California","0","https://twitter.com/asiansenergy/status/1229538326509580289"
"18-02-2020","New  recycles  gases into fuel and   https//t.co/rTDnYVifE6","Brüssel, Belgien","0","https://twitter.com/REMWG/status/1229464188315164673"
"18-02-2020","Catalyst recycles  gases into hydrogen gas, fuel, other chemicals https//t.co/PFc9RCAKxD","New York, USA","0","https://twitter.com/gridpointwx/status/1229444164246474753"
"18-02-2020","Catalyst recycles  gases into hydrogen gas, fuel, other chemicals https//t.co/LTt802t8l6 ","NY","0","https://twitter.com/TimMelino/status/1229444007836688385"
"17-02-2020","#स्थापत्य #अभियंता असणाऱ्यांनी मार्गदर्शन करावे  A problem for     is importnat but its main ingredient, , comes with a huge  footprint and is responsible for up to 8% of global  gas emissions.  What  you give/work for this?","","0","https://twitter.com/me_Bhagyashree/status/1229420339089825793"
"17-02-2020","  The  sector was responsible for 8.4% of total US  gas emissions in 2017 -    Our Program provi...","","1","https://twitter.com/agronomy_/status/1229409179275841536"
"17-02-2020","The  sector was responsible for 8.4% of total US  gas emissions in 2017 -    Our Program provides support for  during the transition period to a thriving  system.   Interested in collaborating?🤝DM us!  https//t.co/7brxf9VKVv https//t.co/854mUOuns2","","1","https://twitter.com/RegenFutureC/status/1229407653195112449"
"17-02-2020","Dominion Energy pledges to cut  gas emissions   https//t.co/ExXFqE9jcq via ","","2","https://twitter.com/MuniGUARDNews/status/1229373828851068928"
"17-02-2020","Dear Greta, weve invented/patented a  gas free  generation process, which would reverse .  The problems not   its .   https//t.co/iEjYOy1nnk      ","Boston, USA & Duesseldorf, DE","0","https://twitter.com/BraneCell/status/1229360529690546176"
"17-02-2020","When you’re finished with the meat sack you’ve used to get around the planet, why not  it and return the nutrients to nature rather than locking them six feet under where they’re no use to anything or turning yourself into  gas.  to ! https//t.co/d2y5jzHBQf","New Zealand","0","https://twitter.com/skryb/status/1229319005531303937"
"17-02-2020","  The  continues to hurt our  by being a major contributor of  gas emissions. On this ...","India","4","https://twitter.com/Humana_India/status/1229260231235887104"
"17-02-2020","3/...and  gas emissions. Both issues are required to be addressed under the General Plan.  In a tentative ruling issued on Jan. 27, a San Diego County Superior Court judge agreed with the petitioners.  Vote ","San Diego, CA","0","https://twitter.com/LoriSaldanaSD/status/1229209065139474432"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/LightspeedSteps/status/1229165185228779522"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/meowwsss/status/1229165036972781573"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","Finland","6","https://twitter.com/Dragofix/status/1229164942391218184"
"17-02-2020","  The production, use and disposal of  creates significant  gas  throughout the plastic value cha...","London","1","https://twitter.com/Fireynolds/status/1229123923075305472"
