"Date","Tweet","Location","Retweets","Link to tweet"
"18-02-2020","    Two of the top criteria for     are   and  in...","USA","1","https://twitter.com/ApprovedAmerica/status/1229792860095967232"
"18-02-2020","  Two of the top criteria for     are   and  in the  of the  —  ","USA","1","https://twitter.com/ApprovedAmerica/status/1229758552132083713"
"15-02-2020","  Speeding sea level rise threatens nuclear plants  Climate News Network https//t.co/RbFjNzw9wC     https//t....","Germany","1","https://twitter.com/CarryCandy/status/1228637497456046081"
"15-02-2020","Speeding sea level rise threatens nuclear plants  Climate News Network https//t.co/RbFjNzw9wC     https//t.co/yj4GhUvZ3Q","Portugal","1","https://twitter.com/jp966/status/1228633982268563457"
"15-02-2020","  The third pole The  melting rapidly.  Likely to impose catastrophic effects. Especially in .     le...","Himalayas, India","2","https://twitter.com/TheMountainLust/status/1228373875022532614"
"15-02-2020","The third pole The  melting rapidly.  Likely to impose catastrophic effects. Especially in .     level rise Change in  currents  pattern   how we gonna stop thi  melting? What are the efforts taken by govt?    https//t.co/S2mqQmui0Q","Tamil Nadu, India","2","https://twitter.com/Sareva25/status/1228369648447393792"
"14-02-2020","I know  level rise is an issue, but personally Id rather not see something that could further harm underwater wildlife and the natural environment more than we do already Giant  enclosing North  could protect millions from rising  https//t.co/INNLkJtEOl","Northern Ireland","0","https://twitter.com/DavesNature/status/1228112939766484992"
"14-02-2020","  New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","Finland","6","https://twitter.com/Dragofix/status/1228026230643056640"
"13-02-2020","Rising   drove melting of  ice sheets and caused extreme  level rise more than 100,000 years ago. Fine layers of   ash in the ice helped to pinpoint when mass melting took place   https//t.co/bTDmlth7sT https//t.co/ZetU7Sm6X1","","0","https://twitter.com/WonderfulPhysi1/status/1227750779890483200"
"12-02-2020"," level rise to cause major  impact in the absence of further   -          https//t.co/hNYVmt9t56","Washington, D.C.","0","https://twitter.com/ssgovforum/status/1227578098373271560"
"12-02-2020","Does -level rises only due to  warming? What about due to ? What does neglect of other than warming causes tell us? https//t.co/PWujJQzNFT","Ljubljana","0","https://twitter.com/AndrejDrapal/status/1227536621697982464"
"11-02-2020","  New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","Antarctica","6","https://twitter.com/deborahskyrim/status/1227187712769347585"
"11-02-2020","  New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","Buffalo, NY","6","https://twitter.com/JCavese/status/1227187689134477312"
"11-02-2020","  New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","","6","https://twitter.com/LightspeedSteps/status/1227187126393036800"
"11-02-2020","  New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","","6","https://twitter.com/meowwsss/status/1227186977965051906"
"11-02-2020","New Report Shows Rapid Sea Level Rise Due to Melting Ice https//t.co/zuwFLypkJX    ","Finland","6","https://twitter.com/Dragofix/status/1227186889209282560"
