"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020","For those of us that take regular holidays abroad and  on business, flying makes up a considerable chunk of our , but are there ways of reducing those ?  https//t.co/rNWAi7PPjN   ","West Coast, Canada","0","https://twitter.com/EthosLifestyle/status/1230142526096580608"
"19-02-2020","Transport  were 29 % above 1990 levels in 2018. According to the European  proposal,  emissions need to be cut by 90 % by 2050 to achieve  neutrality in the EU. https//t.co/6D8jN2gj4l","Brussels, Belgium","0","https://twitter.com/s_belegrinou/status/1230141408918544386"
"19-02-2020","What is RHI? And why should all rural homes and businesses know about it? https//t.co/4zldo9Crvo .               ","Essex, UK & Linz, Austria","0","https://twitter.com/Innasol/status/1230141297257799680"
"19-02-2020","An appropriate sizing strategy reduces countless tons of waste and CO2   ","San Mateo, CA","0","https://twitter.com/greg_fit3d/status/1230140582573400064"
"19-02-2020","Government funding awarded for innovative technologies to  industry underlining the UK’s official aim of achieving    by 2050 https//t.co/EWx7ZOFzkA","UK","0","https://twitter.com/EnergysGroup/status/1230140002019008513"
"19-02-2020","  Nearly half of the s GDP is generated in places that have set or are proposing a target of net zero  by 2050, accord...","Windhoek, Namibia","14","https://twitter.com/Char_FentonUK/status/1230139762520068096"
"19-02-2020","  Have a look at the  Policy Briefing/2020 - Pushing the  towards a   Economy Country Profiles...","Hamburg, Germany","4","https://twitter.com/An_Skowron/status/1230139198138732546"
"19-02-2020","  To understand our global  data, we first need to take a look at specific records. In todays ...","global citizen (generation y)","1","https://twitter.com/SabMichnowicz/status/1230137909514326017"
"19-02-2020","  Nearly half of the s GDP is generated in places that have set or are proposing a target of net zero  by 2050, accord...","Boddam, Scotland","14","https://twitter.com/NorthConnectUK1/status/1230136419756204033"
"19-02-2020","Almost $39tr of the worlds GDP is now aligned, or proposing to align, with   targets, according to  https//t.co/UP4nQapkqB","Basingstoke, England","0","https://twitter.com/conceptenergy/status/1230136223852879874"
"19-02-2020","   from 2010-2020  1. Carbon dioxide  from  grew 10%  2. Global average ...","Belgium","8","https://twitter.com/thomastorfs/status/1230135779411865602"
"19-02-2020","  ’s new Ultra Low Emission Zone will help clean London’s air, but we want to do more. Our  is a viab...","Gurgaon, New Delhi NCR , India","1","https://twitter.com/PriyaGautamJha/status/1230135300959064064"
"19-02-2020","  Blue Oceans and Green Cruising Another great session  as our panel discuss the efforts of  shipping...","UK","2","https://twitter.com/Elaboratecomms/status/1230134670240690176"
"19-02-2020","This video shows how a standard fuel pick-up pipe draws contaminated, poor quality fuel from the bottom of the tank.  uses a floating hose to only deliver the best quality fuel to fuel lines. See the FuelActive® method at https//t.co/Md2THw8nGg    https//t.co/QW1EYa37vB","Cardiff, Wales","0","https://twitter.com/FuelActiveLtd/status/1230134177581993984"
"19-02-2020","   from 2010-2020  1. Carbon dioxide  from  grew 10%  2. Global average ...","Italy","8","https://twitter.com/OurFutureBot/status/1230134121416011776"
"19-02-2020","The UK government yesterday announced a £90 million investment package for projects focused on reducing  from heavy industry and homes https//t.co/DkvO1Gx2pE","","0","https://twitter.com/BG_Energy/status/1230133751054729217"
"19-02-2020","   from 2010-2020  1. Carbon dioxide  from  grew 10%  2. Global average ...","Virginia, United States","8","https://twitter.com/DavidDREL/status/1230133292332175360"
"19-02-2020","   deaths on European roads have not decreased since 2010 whereas deaths among car occupants decreased by 24%. Time to...","Italy. Tweets in Italian, English, French, and German.","2","https://twitter.com/rotatonda/status/1230132451672051713"
"19-02-2020","  Indias bird population going down sharply via   https//t.co/ePUS6OhyWw     #...","India","1","https://twitter.com/Cleanz_up/status/1230132293186080775"
"19-02-2020","   deaths on European roads have not decreased since 2010 whereas deaths among car occupants decreased by 24%. Time to...","Co Down, Northern Ireland","2","https://twitter.com/_IreneMc/status/1230132164567740418"
"19-02-2020","Indias bird population going down sharply via   https//t.co/ePUS6OhyWw        ","","1","https://twitter.com/ChuckDalldorf/status/1230131859339628545"
"19-02-2020"," deaths on European roads have not decreased since 2010 whereas deaths among car occupants decreased by 24%. Time to look at better and safer mobility for cyclists as well. Cyclists are part of solution to reduce  and  . https//t.co/lSqDCFdnup","","2","https://twitter.com/BicyclesB/status/1230131848870801408"
"19-02-2020","  Scientists have created a new CO2 capturing catalyst that can improve the capturing of carbon from oil refineries, the...","Houston, Texas","3","https://twitter.com/chelseaodom1ld/status/1230131645187055621"
"19-02-2020","Why when we sold more electric cars in 2019, are emissions still rising?   Find out why here >> https//t.co/ulVIoDRUvj    ","Sheffield, England","0","https://twitter.com/NorcroftEnergy/status/1230131510134571008"
"19-02-2020","To understand our global  data, we first need to take a look at specific records. In todays  recommendation, head on over to  to comment on the newly opened discussion on  maps and trends over .  https//t.co/D4QUgxDial https//t.co/D9ssbKDYH9","Munich, Germany","1","https://twitter.com/EuroGeosciences/status/1230130163175874561"
"19-02-2020","When it comes to making  cars, cutting  is only part of the equation.  from  writes that  materials used for production must be considered as well! Read for more https//t.co/bSjn9WGorD https//t.co/BlY5Wo5Ayp","United States and China","0","https://twitter.com/CadenzaInno/status/1230129981222772738"
"19-02-2020","   to allocate €2 mln grant to support  decrease greenhouse gas  https//t.co/VRqyV5KbJg","Washington, DC","1","https://twitter.com/msmyers913/status/1230129841359462406"
"19-02-2020"," to allocate €2 mln grant to support  decrease greenhouse gas  https//t.co/VRqyV5KbJg","Tbilisi, Georgia","1","https://twitter.com/agenda_ge/status/1230129211765141504"
"19-02-2020","   Bosch partners with  to develop solid oxide  to be used as decentral power supplies for...","California","11","https://twitter.com/BCstrat/status/1230127642248126464"
"19-02-2020","    projects awarded funding for clean production   ”Five projects investigating the potential of hydrogen i...","","1","https://twitter.com/WEAYL/status/1230127498207338496"
"19-02-2020","  Carbon Fast Forward  is upon us! Join us next week to meet Joe Cooper from BEIS and hear what the ...","Kent UK","3","https://twitter.com/bill_goldie/status/1230126913764626433"
"19-02-2020","  projects awarded funding for clean production   ”Five projects investigating the potential of hydrogen in  reduction have been awarded funding by the .” Cont.   Read more https//t.co/VREHRKUb4G      https//t.co/XXzshg9NiG","United Kingdom","1","https://twitter.com/autovista_group/status/1230125729695911942"
"19-02-2020","  Blue Oceans and Green Cruising Another great session  as our panel discuss the efforts of  shipping...","Brussel, België","2","https://twitter.com/EuroShippingWk/status/1230125501940891649"
