"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020"," warming causing irreversible mass melting in Antarctica. The hottest temperature... https//t.co/ulllFuwkP8","","0","https://twitter.com/Pelfectos/status/1230114989865947137"
"19-02-2020","  Australian winemakers testing new grapes to deal with  warming  https//t.co/TAiF4FVveA    ...","Melbourne","1","https://twitter.com/EliteOzzy/status/1230090631713718272"
"19-02-2020","Australian winemakers testing new grapes to deal with  warming  https//t.co/TAiF4FVveA                   ","South Africa","1","https://twitter.com/capewinereview/status/1230090608771059712"
"18-02-2020","We hear about   everyday and we are all seeing the effects through the extreme , , and . You can help to, by installing a   solution into your home.    . https//t.co/NBZqwNXfkF https//t.co/ri1IiEqRjQ","Folkestone","0","https://twitter.com/ReinaGroup1/status/1229760033635917824"
"18-02-2020","  Amazon’s Jeff Bezos pledges $10 billion to combat         ...","","1","https://twitter.com/Baqarsajjad2/status/1229732363925688321"
"18-02-2020","Amazon’s Jeff Bezos pledges $10 billion to combat                   https//t.co/G2LdDtkvuc","","1","https://twitter.com/Univrslfeelings/status/1229657382701105152"
"18-02-2020","  &  .. “Their goal to spread doubt on   for current  . Their opponents are anyone who recognize this responsibility ,   &  .” https//t.co/EdQcPDG3li","Milan, Italy, Europe, World ","0","https://twitter.com/PaolaFiore/status/1229532957691564032"
"18-02-2020","Being smart while driving and cutting down or even cutting meat altogether helps a ton. (actually 2 tons of co2 a year) https//t.co/Dzq20vXGTs We have to adapt, we can adapt.            https//t.co/TPdrSwQAoy","","0","https://twitter.com/DamonMedek/status/1229465730762051584"
"18-02-2020"," Collaborate  https//t.co/dUCrmi3xqM⚡️⛅☀️    Feb 17,2020  55 degrees in New York today ...Damn I love global Warming !      ... https//t.co/i12JXdEZTb","EU","0","https://twitter.com/climatechanges9/status/1229461305976852481"
"18-02-2020","Feb 17,2020  55 degrees in New York today ...Damn I love global Warming !               https//t.co/dFyTPZEOj2","New York, USA","0","https://twitter.com/Dknarf/status/1229460942884347904"
"18-02-2020","   DEAR FRIENDS, welcome You to check out MY SONs Video >> On GLOBAL WARMING AND RISING SEA LEVELS >>>> https//t.co...","Singapore","19","https://twitter.com/StellaSanLF/status/1229441632082071555"
"17-02-2020","  First post of the blog of our project   by Simone Borghesi life will tell the role of the integration of ...","Florence, Italy","1","https://twitter.com/FSR_Energy/status/1229322843047047168"
"17-02-2020","Human body loses its natural ability to sweat & cool down at temp above 35°C at 100% humidity. At a wet bulb temperature of 35 °C or higher, we can survive outdoors for at most a couple of hours.     https//t.co/c4Ak96UngW","Mumbai, India","0","https://twitter.com/paritoshsings/status/1229291915184672768"
"17-02-2020","What a difference a few hours makes after  hammers south  this is       warming?🤷‍♂️  this_is_cardiff  bbccymruwales itvwales... https//t.co/Y90jlusMwQ","Cardiff, Wales","0","https://twitter.com/michael55073693/status/1229100787818811393"
"16-02-2020","How is it possible to worry about  warming and not be pro ? https//t.co/AKGzTQoXoW https//t.co/2B1wBvxg81","Knokke-Heist","0","https://twitter.com/VoordeDirk/status/1229018488364306432"
"16-02-2020","Trophic effect of   down from the top of the plankton  is a powerful agent of  change.   https//t.co/qDyr4lf1gL","Adelaide, South Australia","0","https://twitter.com/HadayetEcohyd/status/1228893034953113600"
"16-02-2020"," warming failing in  https//t.co/o7O1Rz9ojn","Texas, U.S.A.","0","https://twitter.com/Brent_Liebel/status/1228885130145562624"
"15-02-2020","  If past winters were mild because of   this winter is truly   in . Let’s hunker...","British Columbia","3","https://twitter.com/YouTravel/status/1228701427859505153"
"15-02-2020"," could go extinct in 70 years  -Warming  effects on   See this report for more information on Climate change.  https//t.co/UtK6Thx6v4","New Delhi","0","https://twitter.com/Youth_of_India_/status/1228658768252026880"
"15-02-2020","What is the difference between climate change & global warming?   “ warming” = the planets long-term warming   “ change” = global warming + a broader range of changes that are happening to our planet due to global warming   Learn more  https//t.co/kO4PfF728v","Botswana","0","https://twitter.com/UNESCO_BW/status/1228615331368914944"
"15-02-2020","First post of the blog of our project   by Simone Borghesi life will tell the role of the integration of  in fighting  warming     https//t.co/D1jvnhYGCq","","1","https://twitter.com/Albert_Ferrari_/status/1228613588417425408"
"15-02-2020","There may be a simple climate fix plant more trees    Warming https//t.co/MjUhljRzyZ","New Delhi","0","https://twitter.com/Youth_of_India_/status/1228438278304452608"
"15-02-2020","Its Straight Up Balmy in Antarctica https//t.co/xmHf2Z2LtU via @   warming","","0","https://twitter.com/munianalyst/status/1228370404806479872"
"14-02-2020","Taking measures to protect our  against superstorms is essential living in the age of  warming.  Please read my blog on Archiving Photographs https//t.co/YyZahFOcEF https//t.co/OeedRgzsUN","Providence, RI","0","https://twitter.com/lenasalina810/status/1228333668541833216"
"14-02-2020"," of   are only as good as the   . The  have no clue of how many  this planet has had in the  of years of existence let alone how many times this   enough to  the    & ","United States","0","https://twitter.com/Webinfotech/status/1228296241546760192"
"14-02-2020","Rick Moranis warming up the shrink ray for the Honey, I Shrunk the Kids reboot https//t.co/WKmk9VcMS8       ","Dubai, United Arab Emirates","0","https://twitter.com/XeeSheikh/status/1228231695809138689"
"14-02-2020"," Reading -  Most Americans see  warming as an , , and political issue. Over half of Americans do not see it as a national security issue. A Different Framing Could Galvanize  https//t.co/1wMg8ixjFZ","Mountain View, CA","0","https://twitter.com/CCLSVN/status/1228221374587535360"
"14-02-2020","Hey   rather than spending all that money on a   maybe some sort of concrete   for the US to  on since the   doesnt feel  warming is a    What do ya think   ?","Phoenix, Arizona ","0","https://twitter.com/lisa_az/status/1228134929734615041"
"14-02-2020","I sometimes cant believe in my ears when people say oh global warming ?? Naaa, thats bullshit  ... wow... really??? Is there still exist who dont see what is really happening??       https//t.co/dI9qScLjHE","Sydney, New South Wales","0","https://twitter.com/AiLarimar/status/1228125916783448065"
"14-02-2020","  If past winters were mild because of   this winter is truly   in . Let’s hunker...","Brighton & Hove, UK","3","https://twitter.com/shopiceland/status/1228044160600592386"
"14-02-2020","  If past winters were mild because of   this winter is truly   in . Let’s hunker...","Brighton & Hove, UK","3","https://twitter.com/icelandcool/status/1228044031927693312"
"14-02-2020","If past winters were mild because of   this winter is truly   in . Let’s hunker down and here is some more https//t.co/co7eg4fWbc https//t.co/eaOk6yl1ov","Iceland","3","https://twitter.com/IcelandinFocus/status/1228043595476873219"
"13-02-2020","  Sea urchins decimated by double whammy in East Mediterranean https//t.co/jx1yGjqjek  warming  change ...","Israel","2","https://twitter.com/haaretzcom/status/1227960736187584514"
"13-02-2020"," warming is here . via /r/Futurology https//t.co/DJRz7K2u5V","","0","https://twitter.com/Pelfectos/status/1227954185565548544"
"13-02-2020"," warming https//t.co/yGkvyPuiwI","Australia","0","https://twitter.com/AreWeThatStupi1/status/1227921014798995456"
"13-02-2020","   | Lower   a  to   ,  Says - https//t.co/FxeqozMzeX -      ","","0","https://twitter.com/SdaNewsOnline/status/1227797805022040064"
"13-02-2020","My animated   illustration. I made the deadline. Concept is   Trees & Going Vegan helps stop  warming Im participating in an art auction/exhibit in NJ at the end of this month focusing... https//t.co/YvsUqsHtlP","USA","0","https://twitter.com/MadonnaDavidoff/status/1227753635783856128"
"13-02-2020","  Planet Niburu, Black Gods and Goddess return of the Annunaki the ones who created us blacks.  Warming https//t.co/nFG...","Birmingham, England","18","https://twitter.com/bandana7ooo/status/1227677407777378305"
"13-02-2020","   Not sure how much we want coal back  warming Glen","","1","https://twitter.com/EubanksLostPen/status/1227674902628458496"
"13-02-2020","  Lower   a  to   ,     Says - https//t.co/OJIpv...","Youmatter. L.W/O.L. APAMD.","2","https://twitter.com/GdLvInfinite/status/1227665098887573504"
"13-02-2020","   warming changes the relative strategic position of nations due to . For some nations this might be e...","Bonn, Deutschland","1","https://twitter.com/bonnalliance/status/1227656980623433731"
