"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020"," @silvial51566723: Climate change its a fact not an opinion. @e_thunter @AidanRGallagher @vanessa_vash @Greenpeace @greenpeacemx @GretaTh...","","9","https://twitter.com/orridge_anna/status/1230082746694995969"
"19-02-2020"," @silvial51566723: Climate change its a fact not an opinion. @e_thunter @AidanRGallagher @vanessa_vash @Greenpeace @greenpeacemx @GretaTh...","Bournemouth, England","9","https://twitter.com/e_thunter/status/1230082626054217728"
"19-02-2020"," @ECOWARRIORSS: Bernie is going to create millions of green jobs and unleash a  multi-trillion-dollar scheme to fight #climate change but...","Scotland ","9","https://twitter.com/NaturalbedsUK/status/1230081876683108357"
"19-02-2020","#Climate change: Fertiliser could be used to power ocean-going ships now trending on Monkey Viral - https://t.co/kkCocKGBtk https://t.co/Mg5W3NDKhq","Globe & Beyond","0","https://twitter.com/monkey_viral/status/1230080138697728000"
"19-02-2020","Sure, $10 billions plenty of money, but #Bezos himself is at the helm of a company thats had a rocky relationship with efforts to protect the environment in the past. @futurism #Amazon #climate https://t.co/GO0wea5Gb7","Bozeman, Mont.","0","https://twitter.com/TheDailyClimate/status/1230079601981972482"
"19-02-2020"," @USSANews: #NBC #News: #climate change not to blame for 2020’s warm #winter https://t.co/VEX5HGfwB2 https://t.co/0LVYrS4F47","Kentucky, USAhttps:","1","https://twitter.com/belkkathy512/status/1230079423849861122"
"19-02-2020","#NBC #News: #climate change not to blame for 2020’s warm #winter https://t.co/VEX5HGfwB2 https://t.co/0LVYrS4F47","USSANews.com ","1","https://twitter.com/USSANews/status/1230078244872847363"
"19-02-2020"," @WorldResources: #Climate solutions are often divided into either mitigation actions that reduce greenhouse gas emissions, or adaptation...","World","11","https://twitter.com/FuturEnviro/status/1230077552930238465"
"19-02-2020"," @DECLeeds: Are you a Secondary school specialist who wants more skills and knowledge to teach about the #climate crisis?  Book on our ha...","Leeds, England","2","https://twitter.com/MattCarmichael2/status/1230076831086383110"
"19-02-2020","Attending #TaxDayEU in #Brussels today. Discussing the Commissions tax agenda, OECDs tax reform & ideas on how to adapt #tax systems to #digitalisation, #climate change & #ethical expectations.  We need fair, green & solidaric tax systems!  @AccountancyEU #Farpol #Nrpol #EUpol https://t.co/mIVDm6IrNs","Faroe Islands","0","https://twitter.com/KristinaHafoss/status/1230076379057790976"
"19-02-2020"," @UNICEFAfrica: The world is failing to provide #children with a healthy life & #climate fit for their future BUT we can change this. Che...","Florence, Italy","7","https://twitter.com/UNICEFInnocenti/status/1230075339310878720"
"19-02-2020","Scotland closed its last coal-fired power plant in 2016. Thats how you tackle climate change. Way to go Scotland! #ActOnClimate #climate #ClimateAction #ClimateEmergency https://t.co/8qKwdzsoOn","Tel Aviv, Israel","0","https://twitter.com/ZAVIT_english/status/1230075314614788097"
"19-02-2020","The world is failing to provide #children with a healthy life & #climate fit for their future BUT we can change this. Check out a few recommendations in  UNICEF , WHOs  & TheLancet new Lancet 2020 Commission Report below . https://t.co/mQOkS4l0IS via UNICEFAfrica","Ghana","0","https://twitter.com/senafrique/status/1230073138307911681"
"19-02-2020","GRETA Admits Climate Change Has Nothing To Do With The Environment  #ppcmmxx #climate #ClimateHoax #ClimateAction   https://t.co/uvnlwqYAqN","","0","https://twitter.com/KevinPoon2012/status/1230072415520280577"
"19-02-2020"," @HeinzVHoenen: #SDGs #climate   How to Change Course on Climate?   by @BCG => https://t.co/Uji3wFGHhy  TY, MT @alvinfoo  cc @jgodard2 @s...","","15","https://twitter.com/jrzaranoid/status/1230072406720548869"
"19-02-2020","The Art of Extinction Rebellion  #ExtinctionRebellion @Change @XRebellionUK @XR_Reading #redrebels #climate #ClimateChange   https://t.co/XDu3exg2Wq","Reading, Berkshire","0","https://twitter.com/BrigadeReading/status/1230071705302949896"
"19-02-2020"," @Maroc_UNESCO: 300 women journalists from #Africa will take part in the 3rd @Panafricaines forum initiated by @2MInteractive and organiz...","Morocco","2","https://twitter.com/2MInteractive/status/1230071562914713605"
"19-02-2020"," @UNICEFAfrica: The world is failing to provide #children with a healthy life & #climate fit for their future BUT we can change this. Che...","Liverpool, England","7","https://twitter.com/fransuave_/status/1230070845067997184"
"19-02-2020","Wow: Globally, it’s estimated that there are between 6,000 to 24,000 deaths a year from lightning. Bas news is there’s likely to be more frequent lightning due to (you guessed it) climate change. #climate #weather #storms  https://t.co/djXhP55aAF","Sydney, Australia","0","https://twitter.com/wilsondasilva/status/1230070494340059139"
