"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020"," @econscan: Recent research published in Nature found that plastics now account for 3.8% of global #greenhouse gas emissions—nearly doub...","Warsaw","1","https://twitter.com/CMR_Warsaw/status/1230017154487066625"
"19-02-2020","An analysis shows burning LSFO increases greenhouse gas emissions. That makes burning HSFO in a scrubber-equipped ship the optimal solution to climate change. https://t.co/8s7JHBerOw  #climatechange #sulphur #sulfur #greenhouse #greenbusiness #emission #health #smog #drilling https://t.co/jcPykq3RiH","Worldwide","0","https://twitter.com/pacificgreentec/status/1229977676691181569"
"19-02-2020","@amyklobuchar please change your position on methane & fracking. #Methane is NOT a #bridgefuel. Methane is a #greenhouse gas and releases #CO2 when burned. Methane (#NaturalGas) is a bad double whammy. #ClimateChange #ClimateActionNow #CarbonFreeFuture https://t.co/j2qESnYBjW","Alexandria, VA","0","https://twitter.com/envirohealthdoc/status/1229969188023885825"
"19-02-2020","Recent research published in Nature found that plastics now account for 3.8% of global #greenhouse gas emissions—nearly double the emissions of the aviation sector. Source:https://t.co/y2yWuTmZlr https://t.co/cNfaENNf3g","Liverpool, England","1","https://twitter.com/econscan/status/1229928371708141568"
"19-02-2020"," @savillj013: #Greenhouse gas emissions under @AngusTaylorMP @ScottMorrisonMP #LNP govt are increasing #LiarFromTheShire #liarPantsOnFire...","","3","https://twitter.com/wnhynd/status/1229892093541093376"
"19-02-2020","The amount of #greenhouse gas emissions per gallon of #milk produced by #California #dairy #farmers is down more than 45% over the past 50 years, according to a new study published by the Journal of Dairy Science. https://t.co/KANKDfvvRn https://t.co/NlnUrvli4F","Lenexa, KS","0","https://twitter.com/TrustInFoodFJ/status/1229849891796590598"
"19-02-2020"," @savillj013: #Greenhouse gas emissions under @AngusTaylorMP @ScottMorrisonMP #LNP govt are increasing #LiarFromTheShire #liarPantsOnFire...","melbs","3","https://twitter.com/martsle40gig/status/1229822079492427776"
"18-02-2020"," @Hoyedipupo: Interestingly #RenewableEnergy can combat #climatechange because it creates no direct #greenhouse gas emissions.  Well done...","Lagos","1","https://twitter.com/Hoyedipupo/status/1229779983423328258"
"18-02-2020","Interestingly #RenewableEnergy can combat #climatechange because it creates no direct #greenhouse gas emissions.  Well done Jeff  We are all fighting #climatechange the best way we can..  #Solarworks  #energyefficiency  #EnergyMix #EnergyRenewability  #Power20in2020 @MADECORESS https://t.co/ysDGDj7mph","Lagos","1","https://twitter.com/Hoyedipupo/status/1229779887319285760"
"18-02-2020"," @Green_Books: What are your tips to reduce food waste?  Wasted and lost food accounts for almost 10% of all our #greenhouse gas emissio...","","1","https://twitter.com/_Qiqly/status/1229692899295727616"
