"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020","#Why #Japan, in the #face of the #ClimateCrisis, is #building more #CoalPlants https://t.co/EKDO82GgeK via @voxdotcom #News #ClimateChange #Japanese #CoalEnergy #Emissions #Pikachu","Longview, TX","0","https://twitter.com/DiabeticCyborgg/status/1229808148782993408"
"19-02-2020","#TuesdayMorning Reading - #Transit + #Emissions: ""They will accommodate approximately 25 percent more customers than the current Acela service."" New Amtrak trains enter testing phase - Transportation Today - https://t.co/0hsAF9zY via @shareaholic","Mountain View, CA","0","https://twitter.com/CCLSVN/status/1229808020961415169"
"19-02-2020"," @CCLSVN: #ClimateAction #Winter #22: If you work in one of the sectors illustrated below, you can help. Most companies are developing go...","Toronto, Canada","2","https://twitter.com/ravinaproject/status/1229807412934332417"
"19-02-2020","#India #Transport #emissions moved up9⃣to4⃣ https://t.co/n7dGzhSiX5","Goa, India","0","https://twitter.com/UrbanEmissions/status/1229806951803961346"
"19-02-2020"," @CCLSVN: #TuesdayMorning Reading - ICYMI: From detailing the effects of the #ClimateEmergency to embracing a discussion of solutions to...","Arizona/Serbia","1","https://twitter.com/MLBinWA/status/1229806538262446081"
"19-02-2020","Time to electrify Ridehailing? (via Passle) by @HyperionStephen https://t.co/tPwW0SP8ev #recruitment #executivesearch #ridehailing #rideshare #ridesharing #emissions #electricvehicles #mobilitytransition https://t.co/lywyzmCRYK","London, Liverpool, Munich","0","https://twitter.com/HyperionESearch/status/1229805533114269704"
"19-02-2020"," @BarillaCFN: Why Agriculture’s Greenhouse Gas Emissions Are Almost Always Underestimated?   Interesting article by @JeffMcMahon_Chi on @...","Santa Monica, CA","1","https://twitter.com/greeneatz/status/1229804306603233280"
"19-02-2020","#TuesdayMorning Reading - ICYMI: From detailing the effects of the #ClimateEmergency to embracing a discussion of solutions to the #emissions problem, and more, this issue of @TIME has a wide array of good pieces in it. Good to review: https://t.co/KYPgXoZksu","Mountain View, CA","1","https://twitter.com/CCLSVN/status/1229803810756775936"
"19-02-2020"," @CEN_HQ: 🇬🇧 As part of a £90 million Govt funding package to cut carbon #emissions in homes & industry, Europe's first ever hydrogen pla...","Battersea, London","2","https://twitter.com/BatterseaTories/status/1229803037016936450"
"19-02-2020"," @melvinsmathews: What would it take to replace the entire world's fleet of motor ships with sailing vessels?  Only 130,000 sailing vesse...","","1","https://twitter.com/LowSulfurBunker/status/1229802386136408064"
"19-02-2020"," @EcoFamilies: Stop blaming #population #growth for #climatechange. The real culprit is #wealth #inequality.  #Consumption by the #world’...","Tacoma, WA","2","https://twitter.com/trvestuff/status/1229801949589069826"
"19-02-2020"," @niveknaelo: @toddtalk Sounds like a great way to promote car pooling, reduce carbon #emissions , alleviate traffic problems, dare I say...","Beacon Falls, CT","2","https://twitter.com/Yolanda53311253/status/1229800817999466498"
"19-02-2020","What would it take to replace the entire world's fleet of motor ships with sailing vessels?  Only 130,000 sailing vessels, but there is a caveat  #maritime #shipping #marine #environment #emissions #pollution #leadership #tech #regulation #melvinmathews   https://t.co/Ime6sRUq8I","","1","https://twitter.com/melvinsmathews/status/1229800740148916226"
"19-02-2020"," @CCLSVN: #ClimateAction #Winter #22: If you work in one of the sectors illustrated below, you can help. Most companies are developing go...","Australia","2","https://twitter.com/sydnets/status/1229800727549100032"
"19-02-2020","#ClimateAction #Winter #22: If you work in one of the sectors illustrated below, you can help. Most companies are developing goals for reducing #emissions; being more #sustainable; and planning for #climatechange in their sector. Talk to our @Biz_CL about what actions can be done https://t.co/rISnZGMZZ2","Mountain View, CA","2","https://twitter.com/CCLSVN/status/1229800492089217024"
"19-02-2020"," @Neste_US: Now that’s what we call progress! Learn more about how we’re helping industry fleets cut #emissions with #renewablediesel in...","Washington, DC Suburbs","1","https://twitter.com/DieselTechForum/status/1229800271414513666"
"19-02-2020"," @CEN_HQ: 🇬🇧 As part of a £90 million Govt funding package to cut carbon #emissions in homes & industry, Europe's first ever hydrogen pla...","England, United Kingdom","2","https://twitter.com/eliesian/status/1229800054753550337"
"19-02-2020"," @EcoFamilies: Stop blaming #population #growth for #climatechange. The real culprit is #wealth #inequality.  #Consumption by the #world’...","Ramsbottom, UK","2","https://twitter.com/petefillery/status/1229800051553247232"
"19-02-2020"," @NIAUK: #NetZero needs #nuclear. Nuclear is a low carbon source of power and has been essential in driving down #emissions in the #UK so...","USA","11","https://twitter.com/HenryK_B_/status/1229800022524469251"
"19-02-2020",". @Microsoft commiting to carbon negative AND removing historical emissions (since its founding in 1975). Raising the bar!  https://t.co/hbYeG1iTJc #emissions #climateaction","Vancouver, British Columbia","0","https://twitter.com/anitraparis/status/1229798263617835008"
"18-02-2020","Our colleagues @DC_Bar & @Earthjustice are hosting a panel event re the future of regulating #tailpipe #emissions from light duty cars&trucks on Tues Feb 25, 12:30-2pm.  Free for D.C. Bar #LawStudent Community Members. Register here: https://t.co/H3vT2DpNjD","Washington, DC","0","https://twitter.com/gwlawenviro/status/1229796843825094656"
