"Date","Tweet","Location","Retweets","Link to tweet"
"19-02-2020"," @cindian1: Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau...","Anishinaabe Territory","5","https://twitter.com/chiefstonefox/status/1230072819058401280"
"19-02-2020"," @cindian1: Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau...","British Columbia ","5","https://twitter.com/TerrencePaul5/status/1230052262166188032"
"19-02-2020"," @cindian1: Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau...","","5","https://twitter.com/SusanaDee/status/1230037519158300672"
"19-02-2020"," @cindian1: Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau...","Abbotsford BC Canada","5","https://twitter.com/savoirfaire_2/status/1230036074086289409"
"19-02-2020"," @cindian1: Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau...","Niitsítpiis-stahkoii treaty 7 ","5","https://twitter.com/TommyChong840/status/1230029603789369345"
"19-02-2020","Criminal that Canadas Politicians w tear the country apart on behalf of #Fossil Fuels during a #ClimateCrisis Unless Trudeau & Horgan have a major change of heart & direction, we are surely heading for a long period of civil unrest #Transition for #Peace https://t.co/rk4h9BT6yg","","5","https://twitter.com/cindian1/status/1230029505655230465"
"19-02-2020"," @GreenGregDennis: Another reason to #stopthemoneypipeline that funds #fossil fuels and #climatechange: If we don’t, it could blow up the...","","1","https://twitter.com/presenceoftish/status/1229901010270859266"
"18-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/BIs0ZJmQU6 via @gofossilfree","Edinburgh","0","https://twitter.com/elliemayze/status/1229543219886723072"
"18-02-2020"," @patchworkqueeni: #extinctionrebellion. Countries most reliant on #fossil fuels  1/ #South Africa 2/ #Poland 3/ #China 4/ #Russia 5/ #In...","","1","https://twitter.com/news_polish/status/1229499412721938436"
"18-02-2020","#extinctionrebellion. Countries most reliant on #fossil fuels  1/ #South Africa 2/ #Poland 3/ #China 4/ #Russia 5/ #India 6/ #Germany 7/ #South Korea 8/ #Iran 9/ #Saudi Arabia 10/ #Japan 11/ #Australia   Good luck demonstrating in #Russia, #China, #Iran and  #SaudiArabia","South Benfleet, Essex, UK","1","https://twitter.com/patchworkqueeni/status/1229499389376376832"
"17-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","Boston, MA","8","https://twitter.com/grawoig/status/1229410210193821696"
"17-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/4zBz3ZyV1d via @gofossilfree","Hertfordshire","0","https://twitter.com/CapenerRhian/status/1229403203676102658"
"17-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/RGGOJvexND via @gofossilfree","England","0","https://twitter.com/chagmk/status/1229401321884745733"
"17-02-2020","@AnSc @solon594bce @arikring @Wronkle See? I loved💚that video clip! #Solar is Our future. Solid One.   From #EV to #SolarEnergy in Our Homes & Offices, #Solar is needed in addition to other sources to offset this worldly #ClimateChangeEmergency!  We need to leave the old ideas. #Fossil Fuels & Coal. Is killing US. https://t.co/O5ZcUhoH1T","Atlanta, GA USA","0","https://twitter.com/JanZackBeasley/status/1229384197674078209"
"17-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/cMa8ko88eL via @gofossilfree","Bath, England","0","https://twitter.com/emma_dahhhling/status/1229384068023881728"
"17-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","","8","https://twitter.com/AdventAustralia/status/1229178896794488841"
"17-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/2PW3C0plM6 via @gofossilfree","UK","0","https://twitter.com/itsmarybrady/status/1229096021495513088"
"16-02-2020"," @SallyClark2: Dear @UofGlasgow, we are in a #ClimateEmergency & you committed to #divest from #climate-wrecking #fossil #fuels in 2014:...","","2","https://twitter.com/DivestSPF/status/1229020453899030528"
"16-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/NkPuovKN0o via @gofossilfree","Norwich","0","https://twitter.com/BorehamIan/status/1228987321862819846"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","","8","https://twitter.com/levaly2/status/1228984156144783360"
"16-02-2020"," @greenpeace_hk: Our latest report finds that #AirPollution from #fossil fuels is attributed to an estimated 4.5 million deaths each year...","Eng./Esp. blog in development","7","https://twitter.com/EnviroDefenders/status/1228956669247229953"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","California, USA","8","https://twitter.com/msicefan/status/1228949153474105344"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","","8","https://twitter.com/_INPST/status/1228947888333606913"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","","8","https://twitter.com/isa_uruguay/status/1228944302358790144"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","","8","https://twitter.com/_atanas_/status/1228944145189888005"
"16-02-2020"," @H3nRasouli: A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y...","Pakistan","8","https://twitter.com/rauf_khalid/status/1228930652545916928"
"16-02-2020","A #levy on #fossil fuels may rescue #ecosystems from destruction and the upcoming #climate_change. https://t.co/Xmc29FTZ8y https://t.co/zaw438bq0O","Iran","8","https://twitter.com/H3nRasouli/status/1228930228455477248"
"16-02-2020"," @SallyClark2: Dear @UofGlasgow, we are in a #ClimateEmergency & you committed to #divest from #climate-wrecking #fossil #fuels in 2014:...","","2","https://twitter.com/islamaryscott/status/1228716873627291648"
"15-02-2020","Dear @UofGlasgow, we are in a #ClimateEmergency & you committed to #divest from #climate-wrecking #fossil #fuels in 2014: https://t.co/2bq9B6OnUi  Its time to keep your promise & join over 1100 institutions in #divesting from  #fossil #fuel companies. 🌍🌏#Divest #FossilFree https://t.co/4QrE5JiEJj","","2","https://twitter.com/SallyClark2/status/1228698711317979146"
"15-02-2020"," @greenpeace_hk: Our latest report finds that #AirPollution from #fossil fuels is attributed to an estimated 4.5 million deaths each year...","Amsterdam","7","https://twitter.com/Patagorda/status/1228581499487883264"
"15-02-2020"," @BreatheProject: Kudos to campus and community activitists for sending a clear message to #divest the university from #fossil fuel inves...","Pittsburgh","2","https://twitter.com/debrsmit/status/1228541027902009344"
"15-02-2020","US Energy Information Administration EIA: #facts current gas vs electricity home heating 47% vs 36%  in 2018 #fossil fuels provided 79% energy overall #renewableelectricity will increase from 25% now to 49% by 2050","Arkansas, USA","0","https://twitter.com/MySolarArkansas/status/1228469256666406912"
"15-02-2020"," @BreatheProject: Kudos to campus and community activitists for sending a clear message to #divest the university from #fossil fuel inves...","PA","2","https://twitter.com/ryl5858/status/1228369322478837760"
"15-02-2020","Kudos to campus and community activitists for sending a clear message to #divest the university from #fossil fuel investments. @PittFTP https://t.co/ltZ5o5GpAx","Pittsburgh, PA","2","https://twitter.com/BreatheProject/status/1228356002829012992"
"15-02-2020"," @ClimateGilda: How will the world function without a material on which we depend so deeply? We need economy-wide solutions and serious r...","Kent, Europe","1","https://twitter.com/BG_Grace/status/1228351403611037696"
"14-02-2020","How will the world function without a material on which we depend so deeply? We need economy-wide solutions and serious r&d  https://t.co/Koak6pDSbc #climate #fossil #oil #barrelofoil @FT #climatechange #fuels #energy #energytransition #EU2050 #tw4se #fossilfriday https://t.co/bSMEmvaMib","Brussels, Belgium","1","https://twitter.com/ClimateGilda/status/1228328063987068933"
"14-02-2020"," @ESpurginHussey: This is so crucial -- please sign: #Fossil Free https://t.co/70JrKDjTee via @gofossilfree","England, United Kingdom","1","https://twitter.com/CastingsFind/status/1228311190205554688"
"14-02-2020"," @greenpeace_hk: Our latest report finds that #AirPollution from #fossil fuels is attributed to an estimated 4.5 million deaths each year...","Amsterdam, The Netherlands","7","https://twitter.com/climatemorgan/status/1228303110860410882"
"14-02-2020","This is so crucial -- please sign: #Fossil Free https://t.co/70JrKDjTee via @gofossilfree","","1","https://twitter.com/ESpurginHussey/status/1228280129358639106"
"14-02-2020","@BillyBoBilly1 @rmack2x @TheDisproof @PeterJrgen12 @aSinister @heisenburgal2o3 @NIMN2019 @SlowMoneyGreen @wlbeeton @DieterFrikadell @MLeiter42 @Tokyo_Tom @stykyt @SpatulaSteve @RegimeChangeBC @johnstretch @Ceist8 @brandondaly2018 @wiaceka @the_galt @HallbertCG @davidyoung13 @BubbasRanch @craigthomler @Quantummist @OBundWIE @try2golf @DawnTJ90 @GillesnFio @SensCommunPeu @joshland @DavidMichaelRi8 @Vicster1234 @priscian @Over400ppm @REKel48978522 @_InThisTogether @ShopSmartResist @PullNews @MATTP1949 @PeterMayfitz @Jaisans @david_hanselman @AGWISABIGLIE @neil_ndbress @boggywood @GeorgePembroke @bendynaa @oldaggie84 @Barbarajdurkin #Fossil Fossil fuels are proven to work when it gets cold. https://t.co/SatoDRsPxr","Australia","0","https://twitter.com/AreWeThatStupi1/status/1228273934400811008"
"14-02-2020"," @WWFScotland: We are in a #ClimateEmergency.  #Fossil fuels need to stay in the ground. https://t.co/INlWDTgh5m","","3","https://twitter.com/Guravy70/status/1228068059400765440"
"14-02-2020"," @GeoffreyPetty: This is so crucial -- please sign: #Fossil Free https://t.co/GT120MipDk via @GoFossilFreeOU","Devon","1","https://twitter.com/geetiesingh/status/1228017507585359872"
