"Date","Tweet","Location","Link to tweet"
"18-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/3VWcCuxysS","Stuttgart, München, Birmingham","https://twitter.com/semodu_ag/status/1229694546751184901"
"18-02-2020"," @CrewHouseCowes: Did you know sea level around the island is rising by 6mm per year?  #TuesdayThoughts #TriviaTuesday #IsleofWight #Cowe…","","https://twitter.com/AllesUndNix_/status/1229687903367913472"
"18-02-2020","Did you know sea level around the island is rising by 6mm per year?  #TuesdayThoughts #TriviaTuesday #IsleofWight #Cowes #tourism #localhistory #sea #TheCrewHouse #bunkhouse #holidaylet #base #explore https://t.co/JPfvP562lS","Cowes","https://twitter.com/CrewHouseCowes/status/1229686406131453952"
"18-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/xjFPdjIFmK","Stuttgart, München, Birmingham","https://twitter.com/semodu_ag/status/1229665611971776514"
"17-02-2020","Climbing #Zugspitze, the highest #mountain in #Germany, & the 15th highest mountain in #Austria at 2962 M,  9717.9 FT  above #sea level!   #Pretty when the #sky is #crystal clear !  #ski #mountains #skiing 🎿 #sun… https://t.co/lDHDYGhljF","Washington, DC","https://twitter.com/FollowAbadi/status/1229391207241068544"
"17-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/nO55gcnFwN","Stuttgart, München, Berlin","https://twitter.com/f_talmon/status/1229378464295329793"
"17-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/AldpTrKAUB","Stuttgart, München, Birmingham","https://twitter.com/semodu_ag/status/1229210610191228928"
"16-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/yIZHW98lXe","Stuttgart, München, Birmingham","https://twitter.com/semodu_ag/status/1228759641670193154"
"16-02-2020","If the #sea level rises, the #WaddenSea will disappear. Help to #protect the #climate. #northsea #climatechange #Germany https://t.co/jZOSPC12Gi","Stuttgart, München, Birmingham","https://twitter.com/semodu_ag/status/1228714344696995841"
"15-02-2020","No filter : neither my feelings nor the sky & the sea. Today when I was at sea level, the sky and sea just merged into a perfect harmony and couldn’t make a difference 🥰 Such a perfect blue! . . . . #sea #sun #beach… https://t.co/fLpHK9iTO8","Bengaluru, Karnataka","https://twitter.com/Snigdha_Hajong/status/1228666915717033986"
