"Date","Tweet","Location","Link to tweet"
"18-02-2020"," @CA_Latest: As #Australia reels from unprecedented bushfires, the disconnect between its vulnerability to #climate change and the inadeq…","Brisbane, Queensland","https://twitter.com/GreyPowerEarth/status/1229727925051609097"
"18-02-2020"," @ForbesME: Bezos Pledges $10 Billion—Nearly 10% Of Net Worth—Toward Solving Climate Change 🔗 https://t.co/ySCqfUkY65 #Jeffbezos #Pledge…","","https://twitter.com/Kfarghali29/status/1229727683787001858"
"18-02-2020","Jeff Bezos’ $10bn  commitment to curb #climate change is great, writes @MarkTercek. He should also use the power of @Amazon to drive change. https://t.co/E5Js82004y #philanthropy","Bethesda, MD","https://twitter.com/MarcGunther/status/1229727438587994112"
"18-02-2020"," @CA_Latest: As #Australia reels from unprecedented bushfires, the disconnect between its vulnerability to #climate change and the inadeq…","Canberra","https://twitter.com/RichieMerzian/status/1229726687924899841"
"18-02-2020"," @TheDailyClimate: If #climate scientists have got their predictions right, Auckland will be progressively hit by more extreme weather, i…","New South Wales, Australia","https://twitter.com/DeborahAnnG/status/1229726373683458048"
"18-02-2020","If #climate scientists have got their predictions right, Auckland will be progressively hit by more extreme weather, including more frequent and possibly more severe droughts, floods and damaging winds. https://t.co/zD70FJW8Gz","Bozeman, Mont.","https://twitter.com/TheDailyClimate/status/1229726038357352451"
"18-02-2020","Jeff #Bezos commits $10 billion to fight #climate #change https://t.co/tWtKN1nmOu","Downtown - Beirut - Lebanon","https://twitter.com/AnnaharEn/status/1229725409161416704"
"18-02-2020"," @ipoguy: LOOPShare Ltd $LPPPF 🇺🇸 $LOOP 🇨🇦 Price $0.4929 Day's Change 0.0388 (8.54%)↗️ Bid .47 Ask .516 B/A 14000x33350 @GetInEarly @Kons…","North Dakota, USA","https://twitter.com/nlwinfree/status/1229721085714796544"
"18-02-2020"," @JosephineCumbo: New provisions imposing much tougher requirements on #pension schemse to use their investment muscle to act on #climate…","London","https://twitter.com/NVJRobins1/status/1229720281825955840"
"18-02-2020"," @timetospeakoutt: Exactly right. Pitiful response to a problem affecting thousands of citizens which should have been prepared for. And…","","https://twitter.com/JennyJones1313/status/1229720205682671616"
"18-02-2020","Melting ice sheets. Wildfires that turn the sky red. Record-breaking heat waves.  The terrifying effects of climate change are hard to miss. They also leave many people fearful about the future of the planet and our civilization.  If  #change #Climate https://t.co/u2VZ19QSOV https://t.co/rffOfzb9ka","UK","https://twitter.com/EcoPlanetNews1/status/1229719984156356612"
"18-02-2020"," @8lanch: The big fat climate change poll.  Please vote  Feel free to comment  And please   Question - is climate change a man made iss…","","https://twitter.com/uptheworkers1/status/1229719101054050304"
