"Date","Tweet","Location","Retweets","Link to tweet"
"18-02-2020"," @COP26: 🌍 💪 💚 🇬🇧  Today @beisgovuk announced a £90m package to help homes and businesses to cut carbon #emissions.  This includes fundin…","Canada- Xing-Linkedln","13","https://twitter.com/NetClubj1/status/1229787142727065601"
"18-02-2020"," @whgroup300: Tyseley Energy Park is one of #Birmingham’s most iconic business sites, with a history of innovation and now a key role in…","","4","https://twitter.com/HayTrust/status/1229787039329026053"
"18-02-2020"," @CohenProf: 5-10% of #US premature #mortality is attributed to #airpollution, spurring reform efforts around local #emissions. But a new…","","5","https://twitter.com/kjatar/status/1229786566253568000"
"18-02-2020","Minister of @beisgovuk, @KwasiKwarteng, has announced UK households and businesses will benefit from a £90m investment to cut #carbon #emissions, £70m of which will fund 2 low carbon hydrogen production plants. Read more here: https://t.co/F8f8RsrK92 #energytech https://t.co/zad2clJZrr","Milton Keynes, UK","0","https://twitter.com/teamenergyeaa/status/1229785980317687808"
"18-02-2020","Delta Air Lines commits $1bn to become carbon neutral - The business has pledged to become carbon neutral as well as minimise its reliance on the carbon offset market. . Full story at https://t.co/oVDTi5HJK8 . #climatechange #carbon #emissions #globalwarming #netzero #travel https://t.co/1xXSS5fPgF","UK","0","https://twitter.com/OVONewswire/status/1229785369694089217"
"18-02-2020"," @CohenProf: 5-10% of #US premature #mortality is attributed to #airpollution, spurring reform efforts around local #emissions. But a new…","PHX AZ / Layleaux Tapestries","5","https://twitter.com/snowmiaux/status/1229785252035317760"
"18-02-2020"," @GISP_Tweets: ""Several of the world’s major #Airlines have announced plans to become 'carbon neutral'... When you compare what’s being d…","Plant Earth ","4","https://twitter.com/GreenNewDealMMT/status/1229783777116688384"
"18-02-2020","#NEWS: A recent report outlines how a part of the Amazon is emitting more CO2 than absorbing. #environment #amazon #rainforest #emissions #pollution https://t.co/B5bA2qyJko","San Francisco","0","https://twitter.com/mOppenheimORG/status/1229782870169878537"
"18-02-2020","Is your business interested in #environmental, #emissions and #AirQuality monitoring? Subscribe to our ILM Exhibitions newsletter and stay ahead of vital industry news and conference & exhibition updates 👉 https://t.co/b5gvfZL4Fp  #AirPollution #petroleum #fuel https://t.co/Q9FXI3glh9","United Kingdom","0","https://twitter.com/Petro_online/status/1229782795758776320"
"18-02-2020"," @cleanenergywire: Reconciling economic activity at sea with #climate action: #Germany to promote EU maritime strategy including European…","Earth","2","https://twitter.com/criticalgoose/status/1229782718508142593"
"18-02-2020","#CEM2020 preparations are off to a flying start with all exhibition space selling out after additional stands were added 😲. Don't miss out on the leading #emissions #monitoring event 👉 https://t.co/Tq71E5hWsF  @IET_online #hydrogen #airmonitoring #airpollution #Poland #Krakow https://t.co/AF9tUf40PT","United Kingdom","0","https://twitter.com/IET_online/status/1229782696588607488"
"18-02-2020"," @COILPOD: An #emissions reduction strategy for #buildings with #foodservice or #healthcare tenants: deploy our https://t.co/U67YaILc #…","Email: richard@coilpod.com","1","https://twitter.com/COILPOD/status/1229782068449677315"
"18-02-2020","Reconciling economic activity at sea with #climate action: #Germany to promote EU maritime strategy including European shore power initiative during 2020 EU Council Presidency   https://t.co/czlV7Z89J2 #shipping #maritime #emissions https://t.co/NZknwhuwuT","Berlin","2","https://twitter.com/cleanenergywire/status/1229781949969031168"
"18-02-2020","How have #carbon #emissions levels changed during the Trump administration? MIT Joint Program Co-Director John Reilly helps PolitiFact reporter account for carbon's ups and downs in past three years. https://t.co/8rVyR5EJlc","MIT Cambridge, MA","0","https://twitter.com/MITGlobalChange/status/1229781806813188096"
"18-02-2020","The @DefraGovUK Clean Air Zone Framework requires local authorities to assess #emissions from non-road mobile #machinery and #generator use   https://t.co/cMiVZiOokl #NRMM #airquality  @DefraUKAir","London, UK","0","https://twitter.com/ConstructDustUK/status/1229781597005676544"
"18-02-2020"," @drjamestate: Looking to work making our cities cleaner, healthier places to live in 2020 and beyond? Contributing to mitigating the #Cl…","Leeds","14","https://twitter.com/jillian_anable/status/1229781289978486785"
"18-02-2020"," @CohenProf: 5-10% of #US premature #mortality is attributed to #airpollution, spurring reform efforts around local #emissions. But a new…","Treaty 1: Winnipeg, MB","5","https://twitter.com/Lucian_Lutrae/status/1229780927313661953"
"18-02-2020"," @CohenProf: 5-10% of #US premature #mortality is attributed to #airpollution, spurring reform efforts around local #emissions. But a new…","","5","https://twitter.com/briandavidearp/status/1229780743347245057"
"18-02-2020"," @AECC_eu: #Diesel engines have a long history of constant #innovation. They will continue to be a viable option for drivers now and in t…","vilvoorde","144","https://twitter.com/walterwillems8/status/1229780713819529216"
"18-02-2020"," @COP26: 🌍 💪 💚 🇬🇧  Today @beisgovuk announced a £90m package to help homes and businesses to cut carbon #emissions.  This includes fundin…","Lusaka, Zambia","13","https://twitter.com/DfidZambia/status/1229780594516688896"
"18-02-2020","World's #carbon #emissions flatline as rich nations ditch coal for wind and solar: #IEA https://t.co/hCxtnAthEq","Dallas, TX","0","https://twitter.com/larylur/status/1229780498207125505"
"18-02-2020"," @AECC_eu: #Diesel engines have a long history of constant #innovation. They will continue to be a viable option for drivers now and in t…","Brussels","144","https://twitter.com/Drschelter/status/1229780384264720385"
"18-02-2020","@BP_plc sets ambition for net zero by 2050. #carbonfootprint #carbonneutral #NetZero #NetZeroCarbon #emissions #sustainability #GHG  https://t.co/WWEoR4ijTy","London, England","0","https://twitter.com/shonnihal/status/1229780247488450560"
"18-02-2020","Emissions limits and shift to e-cars take their toll: #Germany's car industry calls for government help as majority of suppliers are planning to cut jobs  https://t.co/5NwuCi4wxw #EVs #emissions https://t.co/3KfBJ4bH34","Berlin","0","https://twitter.com/cleanenergywire/status/1229779248388460546"
"18-02-2020"," @CohenProf: 5-10% of #US premature #mortality is attributed to #airpollution, spurring reform efforts around local #emissions. But a new…","NYU Langone Medical Ctr","5","https://twitter.com/ArthurCaplan/status/1229779243824869382"
"18-02-2020"," @COILPOD: @AlokSharma_RDG @COP26 @AminaJMohammed Please consider pushing better cleaning/servicing of #HVACR #cooling equipment for #ene…","Email: richard@coilpod.com","1","https://twitter.com/COILPOD/status/1229777850951258112"
"18-02-2020"," @OilGasCanada: Hey woke folk: Coastal GasLink will help get China off coal:   If protesters truly cared about the environment, they'd be…","Alberta","15","https://twitter.com/harboursafety/status/1229776215243800576"
"18-02-2020","An #emissions reduction strategy for #buildings with #foodservice or #healthcare tenants: deploy our https://t.co/U67YaILc #refrigeration coil cleaning technology to them so they can do no-mess condenser coil cleaning for energy savings and emissions reduction! https://t.co/T5IytY9qru","Email: richard@coilpod.com","1","https://twitter.com/COILPOD/status/1229774090539601922"
"18-02-2020"," @ElisaMikko: ”Carbon rationing offers you a lifestyle choice. You don’t have to go green on everything, you can choose.” City of Lahti s…","Freiburg im Breisgau","2","https://twitter.com/JDJourno/status/1229773925091041280"
"18-02-2020","Construction work grinds to a halt following complaints from environmental groups: Tesla #gigafactory delay will damage Germany’s reputation, politicians and industry warn   https://t.co/mLhIQjxf4n #Tesla #EVs #emissions https://t.co/BpiF1FQUlB","Berlin","0","https://twitter.com/cleanenergywire/status/1229773349980602369"
"18-02-2020","Minister of @beisgovuk, @KwasiKwarteng, announces UK households and businesses will benefit from £90m to cut #carbon #emissions in industry and homes. £70m will include funding 2 of Europe’s first-ever low carbon hydrogen production plants. Read more here: https://t.co/F8f8RsrK92 https://t.co/SBI7lHeD5E","Milton Keynes, UK","0","https://twitter.com/teamenergyeaa/status/1229771362526470145"
"18-02-2020","@501mossy @martynrolly @PlaceNorthWest How about 'rejigging' Ribbleton? Instead of toxic #emissions from incinerator & from 186 HGVs bringing in 395,000 tonnes p.a. of waste, we just want to breathe clean air. Preston is more than just city centre - but #AirPollution at ground level will reach centre. PM2.5, NO², CO² https://t.co/NHGA6AnGSy","Preston, England","0","https://twitter.com/Rawe___/status/1229771314463985665"
"18-02-2020"," @BatteryH2: #Germany #Deutschland #h2 #hydrogen #hydrogeneconomy #renewables ""#IEA had some good news recently when it announced that #C…","Salt Lake City, UT","1","https://twitter.com/derekroy100/status/1229769747476037632"
"18-02-2020"," @SustWomen: Would you consider renting your work wardrobe?  The fashion industry causes: 💨 10% of all greenhouse gas #emissions 💧 20% of…","United Kingdom","3","https://twitter.com/SteffWSS/status/1229769600788762624"
"18-02-2020"," @Kayrros: Kayrros and Japan’s National Institute of Information and Communications Technology #NICT are joining forces to extract action…","千葉 or 茨城 or 東京","3","https://twitter.com/FormoonP/status/1229769577774452737"
"18-02-2020","#Germany #Deutschland #h2 #hydrogen #hydrogeneconomy #renewables ""#IEA had some good news recently when it announced that #CO2 #emissions in 2019 did not increase compared to 2018 while the #worldeconomy grew by 3 percent."" https://t.co/3WEMT8Hxw8","Sal","1","https://twitter.com/BatteryH2/status/1229769344348897282"
"18-02-2020","Timely reminder: The Internet causes as much #carbon #emissions as the entire global aviation industry - and Google causes about 40% of those emission. Initiatives like this are just #greenwashing @hyperallergic  https://t.co/CmwJWHsga4","Berlin","0","https://twitter.com/CasparShaller/status/1229769304129884164"
"18-02-2020","Industry Outlook: 5 White-hot Opportunities In The Environmental Sustainability Space https://t.co/Owj1X26hlW @readtherising #Emissions https://t.co/c7jh1nkcV3","England, United Kingdom","0","https://twitter.com/AMSCompositeC/status/1229768856215879681"
"18-02-2020","#London’s new Ultra Low Emission Zone will help clean London’s air, but we want to do more. Our #GreenDBiofuel is a viable way for diesel fleet operators to reduce their #emissions, without the considerable expense of vehicle modifications.  #ULEZ https://t.co/TigscqATTR https://t.co/szdbjDIx5v","United Kingdom","0","https://twitter.com/GreenBiofuels/status/1229768543899672577"
"18-02-2020","@cleanenergywire That's why #syntheticfuels are needed in order to decouple #emissions from #growth in #aviation.","Frankfurt on the Main, Germany","0","https://twitter.com/capheniatec/status/1229768129557024774"
"18-02-2020"," @AECC_eu: Now that modern #diesel & #petrol cars perform similarly, consumers can compare vehicles based on their needs, rather than on…","Mol, België","70","https://twitter.com/ferre_beyens/status/1229767978549465089"
