"Date","Tweet","Location","Link to tweet"
"18-02-2020"," @Green_Books: What are your tips to reduce food waste?  ""Wasted and lost food accounts for almost 10% of all our #greenhouse gas emissio…","","https://twitter.com/_Qiqly/status/1229692899295727616"
"18-02-2020","What are your tips to reduce food waste?  ""Wasted and lost food accounts for almost 10% of all our #greenhouse gas emissions, according to the UN.""  https://t.co/pvS5GLDwZq  #foodwaste #climatecrisis #globalwarming #waste #science #environment","","https://twitter.com/Green_Books/status/1229692233043136512"
"18-02-2020"," @savillj013: #Greenhouse gas emissions under @AngusTaylorMP @ScottMorrisonMP #LNP govt are increasing #LiarFromTheShire #liarPantsOnFire…","Logan, Queensland, Australia","https://twitter.com/savillj013/status/1229673578846572544"
"18-02-2020","#Greenhouse gas emissions under @AngusTaylorMP @ScottMorrisonMP #LNP govt are increasing #LiarFromTheShire #liarPantsOnFire https://t.co/2iefKXwo9x","Logan, Queensland, Australia","https://twitter.com/savillj013/status/1229622622469517312"
"18-02-2020","#Deforestation and forest degradation are responsible for about 15% of #global #greenhouse #gas #emissions. Where Forest singly holds 80% of above ground - terrestrial carbon and 40% of below ground terrestrial carbon of the Earth.","नेपाल","https://twitter.com/TharuDeBhumi/status/1229597455882313728"
"18-02-2020","Iain Patton, CEO @TheEAUC: The main #sustainability challenge for #UK #universities this year is definitely how they are going to rapidly cut their #greenhouse gas #emissions and reach net zero targets. | Hazel Davis  @Educ_Technology https://t.co/UGQeI9yOi3  #highereducation https://t.co/RQ2iA3f3gS","Kolkata, India","https://twitter.com/LetsTalk06/status/1229593574376906752"
"18-02-2020","From #Walmart Inc. to #Microsoft many large companies say commitments to curb #greenhouse-gas emissions & buy green power are becoming important to recruiting and retaining workers, especially younger ones https://t.co/qsog6orDBp via @WSJ","Green state of California","https://twitter.com/asiansenergy/status/1229538326509580289"
"18-02-2020","New #catalyst recycles #greenhouse gases into fuel and #hydrogen #gas https://t.co/rTDnYVifE6","Brüssel, Belgien","https://twitter.com/REMWG/status/1229464188315164673"
"18-02-2020","Catalyst recycles #GREENHOUSE gases into hydrogen gas, fuel, other chemicals https://t.co/PFc9RCAKxD","New York, USA","https://twitter.com/gridpointwx/status/1229444164246474753"
"18-02-2020","Catalyst recycles #GREENHOUSE gases into hydrogen gas, fuel, other chemicals https://t.co/LTt802t8l6 #GPWX","NY","https://twitter.com/TimMelino/status/1229444007836688385"
"17-02-2020","#स्थापत्य #अभियंता असणाऱ्यांनी मार्गदर्शन करावे  A problem for #civil #engineers  #Concrete is importnat but its main ingredient, #cement, comes with a huge #carbon footprint and is responsible for up to 8% of global #greenhouse gas emissions.  What #ideas you give/work for this?","","https://twitter.com/me_Bhagyashree/status/1229420339089825793"
"17-02-2020"," @RegenFutureC: The #agriculture sector was responsible for 8.4% of total US #greenhouse gas emissions in 2017 - @EPA   Our Program provi…","","https://twitter.com/agronomy_/status/1229409179275841536"
"17-02-2020","The #agriculture sector was responsible for 8.4% of total US #greenhouse gas emissions in 2017 - @EPA   Our Program provides support for #farmers during the transition period to a thriving #regenerative system.   Interested in collaborating?🤝DM us!  👉https://t.co/7brxf9VKVv https://t.co/854mUOuns2","","https://twitter.com/RegenFutureC/status/1229407653195112449"
"17-02-2020","Dominion Energy pledges to cut #greenhouse gas emissions #muniland @DPCDATA https://t.co/ExXFqE9jcq via @aikenstandard","","https://twitter.com/MuniGUARDNews/status/1229373828851068928"
"17-02-2020","Dear Greta, we've invented/patented a #greenhouse gas free #Hydrogen generation process, which would reverse #ClimateCrisis.  The problem's not  #science it's #ProjectFinance.   https://t.co/iEjYOy1nnk #Digitalisierung #NH3 #GlobalWarming #GreenHydrogen #BREAKING #venturecapital","Boston, USA & Duesseldorf, DE","https://twitter.com/BraneCell/status/1229360529690546176"
"17-02-2020","When you’re finished with the meat sack you’ve used to get around the planet, why not #compost it and return the nutrients to nature rather than locking them six feet under where they’re no use to anything or turning yourself into #greenhouse gas. #Recycle to #regenerate! https://t.co/d2y5jzHBQf","New Zealand","https://twitter.com/skryb/status/1229319005531303937"
"17-02-2020"," @planetaid: The #fashionindustry continues to hurt our #planet by being a major contributor of #greenhouse gas emissions. On this #Valen…","India","https://twitter.com/Humana_India/status/1229260231235887104"
"17-02-2020","3/...and #greenhouse gas emissions. Both issues are required to be addressed under the General Plan.  In a tentative ruling issued on Jan. 27, a San Diego County Superior Court judge agreed with the petitioners.  Vote #YesOnA","San Diego, CA","https://twitter.com/LoriSaldanaSD/status/1229209065139474432"
"17-02-2020"," @EcoWatch: #BP announces plan for reinvention by eliminating and offsetting #greenhouse #gases by 2050. Details are scant, as reported i…","","https://twitter.com/LightspeedSteps/status/1229165185228779522"
"17-02-2020"," @EcoWatch: #BP announces plan for reinvention by eliminating and offsetting #greenhouse #gases by 2050. Details are scant, as reported i…","","https://twitter.com/meowwsss/status/1229165036972781573"
"17-02-2020"," @EcoWatch: #BP announces plan for reinvention by eliminating and offsetting #greenhouse #gases by 2050. Details are scant, as reported i…","Finland","https://twitter.com/Dragofix/status/1229164942391218184"
"17-02-2020"," @PRI_News: The production, use and disposal of #plastics creates significant #greenhouse gas #emissions throughout the plastic value cha…","London","https://twitter.com/Fireynolds/status/1229123923075305472"
