"User","Tweet","Link to tweet"
"@Lisa"," @Lucaswoodland: Large chunks of Britain are flooded, only a month after large chunks of Australia burned to the ground. If you are in de…","https://twitter.com/lisabl27/status/1228988658285453312"
"@Lowell Reiland","As Sea Levels Rise, Scientists Offer a Bold Idea: Dam the North Sea - “The proposal to serve as an alarm, vividly illustrating the kind of drastic action that might become necessary if global leaders cannot find a way to address climate change.” https://t.co/rp7vdgcocI","https://twitter.com/LowellReiland/status/1228988655034744832"
"@Craig","@InsidersABC @David_Speers @M_McCormackMP Climate change & Renewables is the Greatest money making scam since the aids commercials and condom sales in the gay communities","https://twitter.com/Balmaincraig/status/1228988647338151938"
"@michaelnarracott","Dressed. For climate change. https://t.co/lphbHqXdZS","https://twitter.com/michaelnarraco1/status/1228988641348706307"
"@tabula rosa"," @johnharris1969: At a time of climate emergency, widespread poverty, a housing crisis, ruined local & city government, an ever-ageing so…","https://twitter.com/rosie_rejoicing/status/1228988640681955338"
"@Adam Clarke 🇳🇿🇦🇺","I just signed up to support the introduction of the Climate Change Bill into our Parliament. See details, add your name & contact your federal MP. https://t.co/mc4midS7Vh #climateactnow #auspol","https://twitter.com/AdamClarke73/status/1228988635719987200"
"@André Myers","@lucyk512 @Ambraneri @1904Irrelevants He’s finally blocked me on all his accounts (who the hell needs multiple accounts like that!).  Probably for the best. No more listening to his misogynistic, racist, climate denying, alt-right wing bullshit (funny how those traits so often come in a package).","https://twitter.com/AndrMyers/status/1228988633170022400"
"@Andrew Barss"," @johnharris1969: At a time of climate emergency, widespread poverty, a housing crisis, ruined local & city government, an ever-ageing so…","https://twitter.com/andrewbarss/status/1228988629973946368"
"@David Hand","@ProfTerryHughes Climate change realism. Chinese, Indian and American carbon dioxide molecules don’t need a passport to enter Australia.","https://twitter.com/dave_hand/status/1228988629374005248"
"@John Oakley"," @timpoliti: @michaelkoziol @matthaggis666 Those “activists” (representing fossil fuel industry interests) have as much right to present…","https://twitter.com/joakley16/status/1228988628161810433"
"@Von"," @johnharris1969: At a time of climate emergency, widespread poverty, a housing crisis, ruined local & city government, an ever-ageing so…","https://twitter.com/VonBze/status/1228988628078034946"
"@Flavio Graziosi"," @MikeHudema: This island in #Denmark is already 100% #renewable. It produces enough #solar and #wind power not only to provide for its o…","https://twitter.com/Flavio3290/status/1228988627574820865"
"@JT."," @A_Liberty_Rebel: People are still getting flooded in Yorkshire, Shapps, because instead of spending enough money on improving flood def…","https://twitter.com/dondeljul/status/1228988623967653888"
"@Mgn"," @PlanetGreen: Why flying at lower or higher altitudes might reduce the climate impact of air travel https://t.co/vF4oZdMdpY https://t.co…","https://twitter.com/Magno369/status/1228988622294192133"
"@Anne Goodwin","Earth Day's 50th Anniversary is coming up! It's going to be the largest-ever strike against climate change. Sign up to take action: https://t.co/tOZCZoN3VC","https://twitter.com/Annecdotist/status/1228988620108857344"
"@Jon Saxon","@9potatocorden I often wonder what it would take for warmists to snap out of it, and see the BS they are buying into.  Even those that can't follow all the science, should have been able to follow much of the BS promoted by the climate zealots.  Yet people follow like zombies.","https://twitter.com/jonsaxon67/status/1228988619982950400"
"@Luke Conlaund"," @CraigPT82: Fed up of all this rain now, just feel like hibernating till I go to a warmer climate. #rotherham #riverdon #StormDennis #st…","https://twitter.com/LukeConlaund4/status/1228988617244192768"
"@SDA"," @Cycling_Embassy: Transportation accounts for a quarter of the EU’s carbon emissions. To achieve climate neutrality, a 90% reduction is…","https://twitter.com/swyda/status/1228988617172844553"
"@The Nature Economics"," @Reuters: ICYMI: Climate activist @GretaThunberg took part in a climate protest in Swedish Lapland. Thunberg was invited by a Sami youth…","https://twitter.com/natureeconomics/status/1228988616220778496"
"@Twm Draper","Climate change is real https://t.co/cLd7QZz1xB","https://twitter.com/DraperTwm/status/1228988614572417025"
"@Martin Clemie"," @NoIAmTonyGreen: Brexit is destroying the economy and the Union.  A climate change denier is now Environment Secretary.  Johnson has sig…","https://twitter.com/MartinClemie/status/1228988612445900800"
"@Sandy McAfee (⧖)"," @newscientist: Weather by Jenny Offill: How to cope with climate anxiety in a crisis https://t.co/CJyLvkI0YY https://t.co/oRM0PX8pCu","https://twitter.com/SandyMcAfee/status/1228988609858019328"
"@Jeff R"," @aurasecretmoon: And we are too busy with climate change to notice. They have been invading us with stealth for years, driven people out…","https://twitter.com/jeffjames49/status/1228988607949627392"
"@finn o’bryan 🐁 ⚒"," @Lucaswoodland: Large chunks of Britain are flooded, only a month after large chunks of Australia burned to the ground. If you are in de…","https://twitter.com/streetrat69/status/1228988606670409729"
"@The New Normal"," @mcannonbrookes: I just signed up to support the introduction of the Climate Change Bill into our Parliament. See details, add your name…","https://twitter.com/philip_purcell/status/1228988599317622784"
"@W.O","@mynameisjerm Is climate change a crime against humanity?","https://twitter.com/wolfjas/status/1228988598826848256"
"@Bobby Argos"," @lapogus1: @ExtinctionR You mean there's going to be an expose all documentary about the dangerous Marxist nutters who started the XR de…","https://twitter.com/NPCBOBO/status/1228988595022782473"
"@lovesdaryl 🇪🇺 🇭🇰🏴󠁧󠁢󠁳󠁣󠁴󠁿🍀🌹"," @tveitdal: Climate Cartoon of the day: Sad News https://t.co/Na09gEV11h","https://twitter.com/musicandscifi/status/1228988588555210752"
"@😇Justin 'imself👿"," @zalisteggall: Let’s make history again with a people’s bill on Climate Change. Head to our website https://t.co/XooPxy68Fv and register…","https://twitter.com/ecoscore/status/1228988586969587712"
"@Bobby Joe Bob","Antarctica had quite the week in climate change, from a glacier break to record temperatures - CNN https://t.co/vDIBe2a8oW. a very dismal future","https://twitter.com/BobbyJoeBob3/status/1228988578669219842"
"@Silvia Salvioli"," @MikeHudema: #ClimateChange is stealing our future.  Denial is deadly. It's time to #ActOnClimate.  #climate #energy #cdnpoli #GreenNewD…","https://twitter.com/SlivSilvia/status/1228988576525930496"
"@Eugene Gluecough"," @QuickTake: This could be a simple climate fix: plant more trees https://t.co/M7DFt9srxU","https://twitter.com/EGluecough/status/1228988575712268290"
"@sally camfield"," @JunkScience: Such disgusting propaganda.   Greens set up Australia to burn via poor land management... and then use their screw-up as a…","https://twitter.com/sallygifford/status/1228988569995431942"
"@Theatre Pro"," @pigfoottheatre: Thanks @loureviewsblog for chatting to us! ✨  “It’s vital to overcome our anxieties around the climate crisis and come…","https://twitter.com/TheatrePro_/status/1228988565520080897"
"@Bernie Won Iowa 🌹🆘"," @stomach_mouth: @jenngradybklyn The people who took that money are taking part in the harassment of minorities, the destruction of our c…","https://twitter.com/MidSentryModern/status/1228988565289226242"
"@Australian Voice"," @AssezJohnny: @Tim_jbo @Stevorocket1 @mattjcan #DRACONIAN #UN CLIMATE #AGENDA #EXPOSED : ‘Global Warming Fears Are A Tool For #Political…","https://twitter.com/NotTheNewz/status/1228988559178092549"
"@Chris Bartlett","I just signed up to support the introduction of the Climate Change Bill into our Parliament. See details, add your name & contact your federal MP. https://t.co/1ZkRz2O48O #climateactnow #auspol","https://twitter.com/chris_cbart60/status/1228988553935278083"
"@James Coe"," @GlenSannox1940: Not climate change then 🙄   https://t.co/WqEmRkl9EL","https://twitter.com/jamescoe07/status/1228988550739304448"
"@Macka","@HelpRodger There are only 3 things you need to know about Climate Change. 1. Climate changes naturally. 2. Total human & natural CO2 in the atmosphere equates to 0.04%. Australia accounts for 1% of that 0.04%. Its a con, with a Socialist political agenda behind it. That is all. 😎","https://twitter.com/Macka_McQuillan/status/1228988546930790400"
